valintamahdollisuuksiin	vali/nta/mahdollis/uuks/i/in
kilpa-ajajan	kilpa/-/aja/ja/n
eduskuntasihteerin	edus/kunta/sihteeri/n
kitkeränsävyisesti	kitkerä/n/sävyise/sti
elokuvaklassikon	elo/kuva/klassiko/n
kaatopaikkajätteen	kaato/paikka/jättee/n
maataloustyöntekijät	maa/talous/työ/n/tekijä/t
hirsiperinnekoulun	hirsi/perinne/koulu/n
savilahdentie	savi/lahde/n/tie
orkesterisäestyksen	orkesteri/säest/ykse/n
suusyövistä	suu/syö/v/i/stä
suojautumistoimiin	suojautu/mis/toim/i/in
kuunkiertoon	kuu/n/kierto/on
aluemyynnin	alue/myy/nni/n
verohelpotuksillaan	vero/helpot/uks/i/lla/an
oikeaoppisuuden	oikea/oppis/uude/n
poliisioikeuden	poliisi/oike/ude/n
elvyttävistä	elvy/ttä/v/i/stä
yleispätevän	yleis/päte/vä/n
luomisvoiman	luo/mis/voima/n
eduskuntaryhmän	edus/kunta/ryhmä/n
oikeudenhaku	oike/ude/n/haku
perheenemännällä	perhee/n/emännä/llä
rauhanturvausreissuja	rauha/n/turva/us/reissu/j/a
ajanmukaisuudesta	aja/n/mukais/uude/sta
naisurheilijoiksi	nais/urheili/jo/i/ksi
säteilynäytteen	säteil/y/näyttee/n
noudatellen	noudat/el/le/n
soijatuotteiden	soi/ja/tuotte/i/den
julkisuushyödyn	julkis/uus/hyödy/n
markkinointimaksun	markkinoi/nti/maksu/n
avaruusviraston	avar/uus/virasto/n
nuoruustyypin	nuor/uus/tyypi/n
eurokuluttajina	euro/kulu/tta/j/i/na
lähestyttävän	lähesty/ttä/vä/n
retkeilyvarusteita	retkeil/y/varuste/i/ta
piirtämistään	piirtä/m/i/stä/än
sähkönsaanti	sähkö/n/saa/nti
projektinjohtopalveluja	projekti/n/johto/palvel/u/j/a
rekiajeluihin	reki/ajel/u/i/hin
elämänkäsitykseen	elä/mä/n/käsitykse/en
vastaanottokeskuksien	vasta/an/otto/keskuks/i/en
tiedonpuutteensa	tiedo/n/puuttee/nsa
heinäpään	hei/nä/pää/n
arabiemiirikunnissa	arabi/emiiri/kunn/i/ssa
kokonaisratkaisuihin	kokonais/ratkais/u/i/hin
kehitysuskon	kehit/ys/usko/n
liikuntavammaisille	liiku/nta/vammais/i/lle
arvonmääritys	arvo/n/määrit/ys
opiskelijamääriä	opiskeli/ja/määr/i/ä
terveyspäivän	terve/ys/päivä/n
taistelukoneiden	taistel/u/kone/i/den
joulutontuille	joulu/ton/tu/i/lle
neuvontapalveluihin	neuvonta/palvel/u/i/hin
nettomenoiltaan	netto/meno/i/lta/an
lomitustehtäviä	lomit/us/tehtäv/i/ä
vapaaehtoistyöntekijät	vapa/a/ehtois/työ/n/tekijä/t
koulutettavina	koulute/tta/v/i/na
sisustuksenkin	sisust/ukse/n/kin
koulutovereiltaan	koulu/tovere/i/lta/an
avustajakoiran	avusta/ja/koira/n
pelastustehtäviin	pelast/us/tehtäv/i/in
vähimmäissuojan	vähimmäis/suo/ja/n
mittarinlukija	mittari/n/luki/ja
todentuntuisena	tode/n/tuntuise/na
elämänkertoja	elä/mä/n/kerto/j/a
asianosaisena	asia/n/osaise/na
rakennuspuiksi	rakenn/us/pu/i/ksi
sopimuskorotuksista	sopimus/korot/uks/i/sta
kasvatusotteisiin	kasva/t/us/otte/i/siin
tilapäiskekkerien	tila/päis/kekker/i/en
