mikkeihin	mikke/i/hin
psykoottisia	psykoottis/i/a
varmemmin	varme/mm/i/n
koreammin	korea/mm/i/n
kehnoimmin	kehno/imm/i/n
alkusyksyisin	alku/syksyis/i/n
metsäkauriin	metsä/kauri/i/n
kummasteli	kummastel/i
tipautti	tipautt/i
pälkähti	pälkäht/i
muisti	muist/i
kivisti	kivist/i
syliisi	syl/i/i/si
puuhiinsa	puuh/i/i/nsa
lämmitin	lämmi/t/i/n
torstaisin	torstais/i/n
koroin	koro/i/n
istuin	istu/i/n
