hawalim	hawali/m
ŋinakirwun	ŋinaki/r/wun
ŋinakirwun	ŋinaki/r/wun
ŋinakirwun	ŋinaki/r/wun
huruwupkiːl	huru/wu/pkiː/l
doːlt͡ʃaːtt͡ʃaran	doːlt͡ʃaːt/t͡ʃa/ra/n
vipalɲatt͡ʃiŋnərəwun	vipalɲat/t͡ʃi/ŋnə/rə/wun
əntilwun	əntil/wun
əntilwun	əntil/wun
ut͡ʃitnaːŋnərəwun	ut͡ʃit/naː/ŋnə/rə/wun
lapəlindaː	lapə/li/n/daː
əməwupkiːl	əmə/wu/pkiː/l
əməwupkiːl	əmə/wu/pkiː/l
kuŋakarduːwun	kuŋaka/r/duː/wun
əməwupkiːl	əmə/wu/pkiː/l
nulgiːhinəŋnərəwun	nulgiː/hinə/ŋnə/rə/wun
oːdənda	oː/də/n/da
pəktiroːwun	pəktiroː/wun
bit͡ʃotin	bi/t͡ʃo/tin
bit͡ʃotin	bi/t͡ʃo/tin
ďuldulaːwər	ďu/l/dulaː/wər
ďuldulaːwər	ďu/l/dulaː/wər
irəmiːďət͡ʃoːwun	irəmiː/ďə/t͡ʃoː/wun
ďawut͡ʃaďaŋkiːn	ďawut͡ʃa/ďa/ŋkiː/n
haːlďakanəmil	haːlďa/kanəmi/l
kikirkal	kiki/rka/l
uďalduliːw	uďa/l/duliː/w
wamult͡ʃa	wa/mu/l/t͡ʃa
ŋənəďəďəm	ŋənə/ďə/ďə/m
ŋənəďəďəm	ŋənə/ďə/ďə/m
əːwankə	əː/wa/n/kə
əːwankə	əː/wa/n/kə
əːwankə	əː/wa/n/kə
ut͡ʃenikilwiː	ut͡ʃeniki/l/wiː
palatkaldi	palatka/l/di
ďuwun	ďu/wun
umuːnupkənəmil	umuːnup/kənəmi/l
guləlduloː	gulə/l/duloː
guləlduloː	gulə/l/duloː
