sence	se/n/ce
geliStirilebilecektir	gel/iS/tir/il/ebil/ecek/tir
sUvarisinin	sUvari/si/nin
ilerisinde	ileri/si/nde
gecesinde	gece/si/nde
hallerini	hal/leri/ni
konumlanmIS	konum/lan/mIS
eGlendiklerini	eGle/n/dik/leri/ni
Cizgisindeki	Ciz/gi/si/nde/ki
Cekilelim	Ceki/le/l/im
kullan	kul/lan
ettirebilir	et/tir/ebil/ir
tUrkiyede	tUrkiye/de
dOnUStUrmeye	dOn/US/tUr/me/ye
mekandaki	mekan/da/ki
partisinde	parti/si/nde
arkadaki	arka/da/ki
tabakadaki	tabaka/da/ki
saldIrganlIkla	saldIrgan/lIk/la
SUphelenmek	SUphe/len/mek
yankIlandI	yankI/lan/dI
objesinin	obje/si/nin
yeltenmektedir	yelten/mekte/dir
solladIk	sol/la/dI/k
barajdaki	baraj/da/ki
ordudaki	ordu/da/ki
haCa	haC/a
konvoydaki	konvoy/da/ki
oynatabilen	oyna/t/abil/en
acImdIr	a/cIm/dIr
iradesiyle	irade/si/yle
birleStirildi	bir/leS/tir/il/di
umutlandIrdI	umut/lan/dIr/dI
aldatIlabilir	aldat/Il/abil/ir
indirgenecektir	indirge/n/ecek/tir
mUslUmanlIkla	mUslUman/lIk/la
hatadIr	hat/a/dIr
yOneticidir	yOnet/ici/dir
balkondaki	balkon/da/ki
bildirgesiyle	bildirge/si/yle
sevecenlikle	sevecen/lik/le
nidasInI	nida/sI/nI
edasInda	eda/sI/nda
orkestrasInI	orkestra/sI/nI
tasarlayabilir	tasar/la/yabil/ir
belirlenirdi	belirle/n/ir/di
dinleyeceGim	din/le/yeceG/im
bulaSabilmektedir	bu/laS/abil/mekte/dir
seyretmelidir	seyret/meli/dir
baGlantIsInda	baGlantI/sI/nda
aSIsIna	aSI/sI/na
sevilmiS	sev/il/miS
verebilmelidir	ver/ebil/meli/dir
IsInabilirim	IsIn/abil/ir/im
yeltenmiStir	ye/l/t/en/miS/tir
terkedilir	terked/il/ir
venden	ve/n/den
demezmiS	de/mez/miS
baGImsIzlIGIndan	baG/Im/sIz/lIG/In/dan
katIlabilmiStir	kat/Il/abil/miS/tir
anlatImda	anla/t/Im/da
irdelenebilir	irdele/n/ebil/ir
lokmasI	lokma/sI
mubayaasI	mubayaa/sI
fukarasI	fukara/sI
finaldeki	final/de/ki
listedeki	liste/de/ki
karSIlayabilir	karSI/la/yabil/ir
geliSimle	gel/iS/im/le
sUresizdir	sUre/siz/dir
UretilememiStir	Ure/t/il/eme/miS/tir
iSleyiSten	iS/le/yiS/t/en
geCirilmiStir	geCir/il/miS/tir
baGlanabilmek	baG/lan/abil/mek
Ozetleyebilirim	Ozet/le/yebil/ir/im
etkilese	et/ki/le/se
yuttum	yu/t/t/um
kamCIsIdIr	kamCI/sI/dIr
hIzlandIrabilmek	hIz/lan/dIr/abil/mek
dinletir	dinle/t/ir
deGiSmemeli	deG/iS/me/meli
yOnelmektedir	yOnel/mek/te/dir
parasIdIr	para/sI/dIr
istikamettedir	istikamet/te/dir
benimkisi	benimki/si
hastanesi	hastane/si
gOsterisi	gOsteri/si
efesi	efe/si
dinleyicisiyle	din/le/yici/si/yle
UrUndeki	UrUn/de/ki
felsefesine	felsefe/si/ne
izlememden	iz/le/mem/den
UniformasIndaki	Uniforma/sI/nda/ki
mahvetmekle	mahvet/mek/le
kItasIndaki	kIta/sI/nda/ki
esinlenilen	esin/len/il/en
bagetle	baget/le
mendille	mendil/le
biletle	bilet/le
partisine	parti/si/ne
psikoanalizle	psikoanaliz/le
