gOkyUzUyle	gOkyUzU/yle
yatIrIldIktan	yatIr/Il/dIk/tan
sIkIStIrIlIp	sIk/IS/tIr/Il/Ip
koSuttur	koS/ut/t/ur
yaSantIm	yaSantI/m
kompozisyonu	kompozisyon/u
arzum	arzu/m
oradayken	ora/da/yken
unsurlarIna	unsur/larI/na
seyrettim	seyret/ti/m
gerCekleSmez	gerCek/leS/mez
diliyor	di/l/iyor
saatleriydi	saat/leri/ydi
fragmanlarIna	fragman/larI/na
konuGumu	konuG/um/u
uzvunu	uzv/un/u
toplusOzleSmeli	toplusOzleSme/li
susadI	susa/dI
armaGanmIS	armaGan/mIS
kompozisyonudur	kompozisyon/u/dur
karakeCili	karakeCi/li
mineli	mine/li
bununki	bu/nun/ki
bedenli	beden/li
devrilebilecek	devril/ebil/ecek
gidebiliyor	gid/ebil/iyor
tenteli	tente/li
sorununu	sorun/un/u
uGradIk	uGra/dI/k
gerektirip	gerek/tir/ip
yaSantIlarIna	yaSantI/larI/na
kIvrImlarInI	kIvrIm/larI/nI
dUSUnUSe	dUSUn/US/e
uzamIS	uza/mIS
asitli	asit/li
Ulkeli	Ulke/li
dekardIr	dekar/dIr
tavdIr	tav/dIr
bitirmiStik	bitir/miS/ti/k
aSkIndIr	aSkIn/dIr
kompozisyonlarInda	kompozisyon/larI/nda
buluverir	bul/uver/ir
algIlanmIyor	al/gI/lan/mIyor
kazandIysam	kazan/dI/ysa/m
bulsaydIm	bul/sa/ydI/m
gOrUlmekten	gOr/Ul/mek/ten
taslaktaki	taslak/ta/ki
sInavdIr	sInav/dIr
CatIlIr	Cat/Il/Ir
yUksekli	yUksek/li
taramIS	tara/mIS
konuSunda	kon/uS/u/nda
getireceGiz	getir/eceG/iz
yerdim	yer/di/m
sUrprizli	sUrpriz/li
piSmiS	piS/miS
yargItaydIr	yargItay/dIr
durdurduGuna	dur/dur/duG/u/na
UremiSti	Ure/miS/ti
hazIrlanmadan	hazIr/lan/madan
yankIlaSIm	yankI/laS/Im
mUzisyenlerinden	mUzisyen/leri/nden
giriSimcilik	gir/iS/im/ci/lik
birlikleri	birlik/leri
dUSeceGiz	dUS/eceG/iz
bOlUmleri	bOlUm/leri
deGinilmekte	deGin/il/mekte
seCmenleri	seCmen/leri
demokrasileri	demokrasi/leri
Cizgiden	Ciz/gi/den
kOkenleri	kOken/leri
tUrkiyeli	tUrkiye/li
bireyleri	birey/leri
