pastanelerde	pastane/ler/de
emsalleri	emsal/ler/i
penCeleri	penCe/ler/i
manileri	mani/ler/i
mahalleri	mahal/ler/i
kOleleri	kOle/ler/i
icmalleri	icmal/ler/i
depremleri	deprem/ler/i
hisseleri	hisse/ler/i
trajedileri	trajedi/ler/i
sahipleridirler	sahip/ler/i/dir/ler
