telegrammuwə	telegrammu/wə
tawər	ta/wər
ribat͡ʃitt͡ʃəŋkiːtin	ribat͡ʃit/t͡ʃə/ŋkiː/tin
aŋit͡ʃa	aŋi/t͡ʃa
t͡ʃoknatin	t͡ʃok/na/tin
ďawaďəndə	ďawa/ďə/ndə
əɲimtiki	əɲi/m/tiki
ulumiːďədəːs	ulumiː/ďə/dəː/s
bimt͡ʃes	bi/mt͡ʃe/s
ororďi	oro/r/ďi
inihit͡ʃoːw	ini/hi/t͡ʃoː/w
gələːktədəːt	gələːktə/dəː/t
ut͡ʃiťelɲitsaduːwi	ut͡ʃiťelɲitsa/duː/wi
hutakat͡ʃaːnə	hutaka/t͡ʃaːn/ə
moːtiːtkoːn	moːtiː/t/koːn
tugəďəďəŋoː	tugə/ďə/ďəŋoː
hutakat͡ʃaːnə	hutaka/t͡ʃaːn/ə
nulgiːw	nulgiː/w
dəγilittə	dəγi/li/t/tə
ďuːduːwar	ďuː/duː/war
goʃajaduː	goʃa/ja/duː
goʃajaduː	goʃa/ja/duː
bəγəːm	bə/γəː/m
goʃajaduː	goʃa/ja/duː
taritta	tari/t/ta
surupďem	suru/p/ďe/m
surupďem	suru/p/ďe/m
surupďem	suru/p/ďe/m
oďafkiː	o/ďa/fkiː
oďafkiː	o/ďa/fkiː
aŋilaːwər	aŋi/laː/wər
oďafkiː	o/ďa/fkiː
oďafkiː	o/ďa/fkiː
aŋi	aŋi
aŋi	aŋi
planmutin	plan/mu/tin
əwuːst͡ʃam	əwuː/s/t͡ʃa/m
tuγəɲiːduː	tuγə/ɲiː/duː
oďara	o/ďa/ra
uldiːďəkəl	uldiː/ďə/kəl
ďukakanə	ďu/kakan/ə
ŋinakir	ŋinaki/r
oror	oro/r
ŋinakir	ŋinaki/r
oror	oro/r
ŋinakir	ŋinaki/r
hurudəːwər	huru/dəː/wər
