вэтчатвак	вэтча/тва/к
ээк	ээ/к
въэӈык	въэӈы/к
курык	куры/к
эмӄынгитэк	эмӄынгитэ/к
тытԓык	тытԓы/к
йъйыӄык	йъйыӄы/к
выёпчак	выёпча/к
гыткак	гытка/к
гынык	гыны/к
тэԓпык	тэԓпы/к
анъяк	анъя/к
станцияк	станция/к
нэнаратвыӈэгым	н/эна/ра/твы/ӈ/эгым
нинэԓьумыткуӄин	н/инэ/ԓь/умы/тку/ӄин
ныкитэ	ны/кит/э
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
пиӈэтык	пиӈэты/к
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
йъык	йъы/к
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
книгак	книга/к
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
мурык	муры/к
ӈэвысӄэтык	ӈэвысӄэты/к
ӈыронъыԓёк	ӈыронъыԓё/к
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
гэмавъена	гэ/мав/ъен/а
мурык	муры/к
ӈэвысӄэтык	ӈэвысӄэты/к
