bestesi	beste/si
etmedikleri	et/me/dik/leri
oluSturulmasIydI	oluS/tur/ul/ma/sI/ydI
deGerlendirilebilirdi	deGer/len/dir/il/ebil/ir/di
iyileSmeyle	iyi/leS/me/yle
atIlmanIn	at/Il/man/In
tutulmalarIna	tut/ul/ma/larI/na
karSIlaStIGImIzI	karSI/laS/tIG/ImIz/I
yeltenince	ye/l/t/en/in/ce
OzelleSmeye	Ozel/leS/me/ye
geCerlidir	geCerli/dir
sezgiseldir	sezgisel/dir
izindir	izin/dir
taSIndIGIndan	taSI/n/dIG/In/dan
sergilenmeye	ser/gi/len/me/ye
gOrmeyin	gOr/me/yin
Sekillendiricisi	Sekil/len/dir/ici/si
iCkindir	iCkin/dir
manidir	mani/dir
komitedir	komite/dir
saGlanamayacaGIna	saG/lan/ama/yacaG/I/na
yUzyIlImIzIn	yUzyIl/ImIz/In
kesilmemeli	kes/il/me/meli
yUzdUrme	yUz/dUr/me
gOrevlendirebilir	gOrev/len/dir/ebil/ir
tercihimdir	tercih/im/dir
etkilenmeyecek	etki/len/me/yecek
boSalmasIndan	boSa/l/ma/sI/ndan
gazetedir	gazete/dir
dillendirmek	dil/len/dir/mek
uyaranIn	uyar/an/In
gUvenmenin	gUven/me/nin
sUrdUrebilmesine	sUr/dUr/ebil/me/si/ne
gerCekleStirdiGiniz	gerCek/leS/tir/diG/in/iz
durdurmayI	dur/dur/ma/yI
hIzlanmanIn	hIz/lan/man/In
entarilinin	entari/lin/in
kazanIlanIn	kazan/Il/an/In
kuSatIcIlIGI	kuSat/IcI/lIG/I
dUSUrmedi	dUSUr/me/di
alamadIGInda	al/ama/dIG/I/nda
reddetmeye	reddet/me/ye
soGukkanlIlIGInIzI	soGukkanlI/lIG/InIz/I
selamlIGIndaki	selam/lIG/In/da/ki
uzmanlaStIGI	uzman/laS/tIG/I
aydInlatIlmasInI	aydIn/lat/Il/ma/sI/nI
olmazlardI	ol/ma/zlar/dI
yakInlaStIGI	yakIn/laS/tIG/I
tutulmalI	tut/ul/ma/lI
toptancIlIGI	toptan/cI/lIG/I
kaCmayIn	kaC/ma/yIn
kalktIGInda	kalk/tIG/I/nda
gerCekleStirmemiS	gerCek/leS/tir/me/miS
dokunacaGIna	doku/n/acaG/In/a
fedakarlIGIn	fedakar/lIG/In
bakanlIGIn	bakan/lIG/In
CarpIttIGInI	CarpIt/tIG/I/nI
oluSturmadI	oluS/tur/ma/dI
dernekleSme	dernek/leS/me
sertleSme	sert/leS/me
eGitilmelidir	eG/it/il/me/li/dir
gerCekleSmelerini	gerCek/leS/me/leri/ni
sOzleSmesiyle	sOz/leS/me/si/yle
uymalarInI	uy/ma/larI/nI
halletmesi	hal/let/me/si
puanlamanIn	puan/la/man/In
filizlenmeye	filiz/len/me/ye
uygulamasIndan	uy/gu/la/ma/sI/ndan
kullanmazlar	kullan/ma/zlar
sUrUklemeli	sUrUkle/me/li
geCilmeye	geC/il/me/ye
duymazlar	duy/ma/zlar
izleridir	iz/leri/dir
kaCInmamIStIr	kaCIn/ma/mIS/tIr
sahanlIGInIn	sahan/lIG/I/nIn
aSamadIGI	aS/ama/dIG/I
farkIndaydI	fark/I/nda/ydI
olgunlaSmasInIn	olgun/laS/ma/sI/nIn
kapanISIna	kapa/n/IS/I/na
yaSadIGInIn	yaSa/dIG/I/nIn
OdediGine	Ode/diG/in/e
inanmamIStIr	inan/ma/mIS/tIr
gOzUkmemektedir	gOzUk/me/mek/te/dir
kaCInmayan	kaCIn/ma/yan
OGretmemiS	OGret/me/miS
kullanamamasIna	kullan/ama/ma/sI/na
OrtUlmesi	Or/t/Ul/me/si
kaynaSmaya	kaynaS/ma/ya
oturtulmasIna	otur/t/ul/ma/sI/na
kullanImIndan	kul/lan/Im/I/ndan
ettirilmeleri	et/tir/il/me/leri
CarpItmaya	CarpIt/ma/ya
