ihannevastustajat	ihanne/vastusta/ja/t
runeberg-palkintoa	runeberg/-/palkinto/a
palkkaakaan	palkka/a/kaan
keskushenkilöt	keskus/henkilö/t
perusporukkaa	perus/porukka/a
jouluruoat	joulu/ruoa/t
ajosuuntaa	ajo/suunta/a
leirijakoa	leiri/jako/a
laboratoriokulut	laboratorio/kulu/t
herraseuraa	herra/seura/a
erikoisjoukot	erikois/jouko/t
kirjoittaahan	kirjoitta/a/han
terveyspalveluja	terve/ys/palvel/u/j/a
koulukysymykset	koulu/kysymykse/t
ennakkovoitelua	ennakko/voitel/u/a
vaalikeskustelua	vaali/keskustel/u/a
asfalttitiet	asfaltti/tie/t
taistelukranaattia	taistel/u/kranaatti/a
etsintäkuulutukset	etsi/ntä/kuulu/t/ukse/t
pukeutua	puke/utu/a
teatteritilat	teatteri/tila/t
mediasotaa	media/sota/a
kiilautuneet	kiilautu/nee/t
munapäät	muna/pää/t
elämöineet	elämöi/nee/t
riskeerattua	riskeera/ttu/a
dramaturgialinjalle	dramaturgi/a/linja/lle
aikoneet	aiko/nee/t
ilmoitusmarkkoja	ilmoit/us/markko/j/a
teollistuneet	teollist/u/nee/t
syöpäyhdistysten	syöpä/yhdist/ys/t/en
miinoitetut	miinoite/tu/t
salamointia	salamoi/nti/a
rokotetut	rokote/tu/t
irrotettavaa	irrote/tta/va/a
palkatut	palka/tu/t
kelluntaa	kellu/nta/a
palveluhalua	palvel/u/halu/a
infektiovahinkoja	infektio/vahinko/j/a
konsulttityöt	konsultti/työ/t
vähimmäistasoja	vähimmäis/taso/j/a
marsipaanipossuja	marsipaani/possu/j/a
testiaikoja	testi/aiko/j/a
lisäjuttuja	lisä/juttu/j/a
kunniaplakaatteja	kunnia/plakaatte/j/a
opintovelkoja	opinto/velko/j/a
hanskojen	hansko/j/en
puhallukset	puhall/ukse/t
pianojen	piano/j/en
potkuhousuja	potku/housu/j/a
pikkuseikkoja	pikku/seikko/j/a
säilytyspaikkojakaan	säily/t/ys/paikko/j/a/kaan
eksotiikkaakin	eksotiikka/a/kin
yksityisautoja	yksityis/auto/j/a
päivätansseja	päivä/tansse/j/a
päiväetappeja	päivä/etappe/j/a
ajojen	ajo/j/en
käyttöautoja	käyttö/auto/j/a
ostamat	osta/ma/t
aiottuja	aio/ttu/j/a
purkitettuja	purkite/ttu/j/a
talletusvakuutusten	tallet/us/vakuut/us/t/en
yhdeksättä	yhdeksä/t/tä
maksunsaantijärjestyksestä	maksu/n/saa/nti/järjest/ykse/stä
tilaansa	tila/a/nsa
seurojamme	seuro/j/a/mme
kouristuvat	kourist/u/va/t
näytösoikeudenkäynti	näytös/oike/ude/n/käy/nti
britannialaisten	britannia/lais/t/en
minimivaatimusten	minimi/vaatimus/t/en
kaatuvat	kaatu/va/t
loiskivat	loiski/va/t
olympiavaatimusten	olympia/vaatimus/t/en
kiemurtavaa	kiemurta/va/a
tienaavaa	tienaa/va/a
tarjoavaa	tarjoa/va/a
lastenteatteri	las/t/en/teatteri
samppanja-pinjansiemenkastiketta	samppanja/-/pinja/n/siemen/kastiket/ta
nostavaa	nosta/va/a
onnittelijaa	onnitteli/ja/a
työllisyyskehityksen	työ/llis/yys/kehit/ykse/n
ropinaa	ropi/na/a
jätteenkäsittelylaitoksineen	jättee/n/käsittel/y/laitoks/ine/en
matkailijayhdistyksen	matka/ili/ja/yhdist/ykse/n
lastenhuollosta	las/t/en/huollo/sta
suomalaisristeilijöitä	suomalais/riste/ili/jö/i/tä
komistua	komist/u/a
postinjakoalueittain	posti/n/jako/alue/ittain
kansalaisjärjestötapaamisen	kansalais/järjestö/tapaa/mise/n
rahankäyttöönsä	raha/n/käyttö/ö/nsä
vaimoaan	vaimo/a/an
tulojaan	tulo/j/a/an
millimetrintarkasti	milli/metri/n/tarka/sti
rautatiekääntösillan	rauta/tie/kääntö/silla/n
turvapaikanhakuun	turva/paika/n/haku/un
tulevaisuussuunnitelman	tule/vais/uus/suunnitelma/n
myrkkyonnettomuuksiin	myrkky/onne/ttom/uuks/i/in
ylpeydenaiheemme	ylpe/yde/n/aihee/mme
heinäkankaantie	hei/nä/kankaa/n/tie
verrokkeja	verrokke/j/a
