vahSetleri	vahSet/leri
olasIlIkla	ol/asI/lIk/la
kazandIrmIStIr	kazan/dIr/mIS/tIr
besleyebilecek	bes/le/yebil/ecek
dUSUSten	dUS/US/t/en
artIrabilmek	artIr/abil/mek
devrelerine	devre/leri/ne
geniSleyen	geniS/le/yen
gUnUnU	gUnU/n/U
onarIlmIS	onar/Il/mIS
aGrItan	aGrI/t/an
gOzUkebilir	gOzUk/ebil/ir
gOnderilecek	gOnder/il/ecek
enseme	ense/m/e
gOrUlebilir	gOr/Ul/ebil/ir
hatIrlamIyorum	hatIr/la/mIyor/um
dizaynda	dizayn/da
yaptIrImda	yaptIrIm/da
ilgilendik	ilgi/len/di/k
arttIrIlmIStIr	art/tIr/Il/mIS/tIr
yapIlabiliyorsa	yap/Il/abil/iyor/sa
dISlayIp	dIS/la/yIp
yetkilerine	yetki/leri/ne
Cizgisinden	Ciz/gi/si/nden
kaplanan	kap/lan/an
yansItIlarak	yansI/t/Il/arak
kalbimizde	kalb/imiz/de
edebildiGimiz	ed/ebil/diG/im/iz
kIsItlayabilecek	kIsIt/la/yabil/ecek
dinlemiyorsa	din/le/miyor/sa
toplanamadI	topla/n/ama/dI
Ulkemizdeki	Ulke/miz/de/ki
burasIydI	bura/sI/ydI
belirlemektir	belirle/mek/tir
okutun	oku/t/un
verdiGim	ver/diG/im
koSabilmek	koS/abil/mek
kullanabiliyordu	kul/lan/abil/iyor/du
suClamaktan	suC/la/mak/tan
yankIlanIrmIS	yankI/lan/Ir/mIS
olumlanan	ol/um/lan/an
suClamIyor	suC/la/mIyor
sunmuS	su/n/muS
gOrevimizde	gOrev/imiz/de
uGurladIGImIz	uGur/la/dIG/Im/Iz
iCmektir	iC/mek/tir
anlayamIyordum	an/la/yamIyor/du/m
irkilen	irk/il/en
adlandIrmak	ad/lan/dIr/mak
karIsInIn	karI/sI/nIn
