oːdən	oː/də/n
hururəwun	huru/rə/wun
huwulin	huwuli/n
hururəwun	huru/rə/wun
hururəwun	huru/rə/wun
hururəwun	huru/rə/wun
hururəwun	huru/rə/wun
huwulin	huwuli/n
əmərəwun	əmə/rə/wun
əmərəwun	əmə/rə/wun
bəjəl	bəjə/l
munɲakilt͡ʃal	munɲaki/l/t͡ʃa/l
bussəldən	bussə/l/də/n
bit͡ʃon	bi/t͡ʃo/n
bit͡ʃon	bi/t͡ʃo/n
təpkəldən	təpkə/l/də/n
bult͡ʃəl	bu/l/t͡ʃə/l
oldonwon	oldo/n/wo/n
oldonwon	oldo/n/wo/n
ət͡ʃol	ə/t͡ʃo/l
kanikulilwun	kanikuli/l/wun
ďəfsamdalon	ďəfsamda/l/o/n
dəgildən	dəgi/l/də/n
bit͡ʃoːl	bi/t͡ʃoː/l
haŋkəlwun	haŋkə/l/wun
gowolt͡ʃol	gowo/l/t͡ʃo/l
aːŋďərən	aːŋ/ďə/rə/n
guɲďərən	guɲ/ďə/rə/n
bit͡ʃoːn	bi/t͡ʃoː/n
bit͡ʃoːn	bi/t͡ʃoː/n
bit͡ʃoːn	bi/t͡ʃoː/n
bit͡ʃoːn	bi/t͡ʃoː/n
iɲďərən	iɲ/ďə/rə/n
inďərən	in/ďə/rə/n
gunďərən	gun/ďə/rə/n
biďirən	bi/ďi/rə/n
aŋiďərən	aŋi/ďə/rə/n
bilďəŋol	bi/l/ďəŋo/l
arkirən	arki/rə/n
uloːkkirən	uloːkki/rə/n
loporoːrən	loporoː/rə/n
bururən	buru/rə/n
əjəːrən	əjəː/rə/n
manarən	mana/rə/n
hoŋonduːn	hoŋo/n/duː/n
biďən	bi/ďə/n
sururən	suru/rə/n
aŋirən	aŋi/rə/n
hururən	huru/rə/n
hururən	huru/rə/n
l	l
