kuːna	kuː/na
tɔːqqɨmpatɨ	tɔːqqɨ/mpa/tɨ
qajet	qaj/e/t
qajet	qaj/e/t
qəntɨt	qə/ntɨ/t
qəntɨt	qə/ntɨ/t
meːŋɨt	meː/ŋɨ/t
qəntɨt	qə/ntɨ/t
qəntɨt	qə/ntɨ/t
qəntɨt	qə/ntɨ/t
ijamtɨ	ija/m/tɨ
iːmpatɨ	iː/mpa/tɨ
kətɨŋɨt	kətɨ/ŋɨ/t
kətɨŋɨt	kətɨ/ŋɨ/t
qoŋɨtɨ	qo/ŋɨ/tɨ
nʼöːntɨt	nʼöː/ntɨ/t
meːŋɨtɨ	meː/ŋɨ/tɨ
qumɨt	qum/ɨ/t
qumɨt	qum/ɨ/t
qumɨt	qum/ɨ/t
kətɨŋɨtɨ	kətɨ/ŋɨ/tɨ
kətɨŋɨtɨ	kətɨ/ŋɨ/tɨ
kətɨŋɨtɨ	kətɨ/ŋɨ/tɨ
kətɨntɨt	kətɨ/ntɨ/t
kətɨŋɨtɨ	kətɨ/ŋɨ/tɨ
qərɛːtɨ	qər/ɛː/tɨ
qərɛːtɨ	qər/ɛː/tɨ
mɔːtqɨntɨ	mɔːt/qɨn/tɨ
qoːtältɨmpatɨ	qoːt/äl/tɨ/mpa/tɨ
ɛːna	ɛː/na
mɔːtɨt	mɔːt/ɨ/t
mɔːtɨt	mɔːt/ɨ/t
päqqɨt	päqqɨ/t
tiːtäkat	tiːtäka/t
lımpɨt	lımpɨ/t
päqɨt	päqɨ/t
pitčʼet	pitčʼe/t
šiːlat	šiːla/t
čʼıŋkɨt	čʼıŋkɨ/t
qoltit	qolti/t
kačʼilit	kačʼili/t
aːrat	aːra/t
əːlet	əːle/t
qäntɨt	qäntɨ/t
üːtɨt	üːtɨ/t
əːlʼöt	əːlʼö/t
toːpɨt	toːpɨ/t
peːqqɨt	peːqqɨ/t
sʼilat	sʼila/t
qəːntɨt	qəːntɨ/t
lʼosät	lʼosä/t
oːlʼot	oːlʼo/t
okoškat	okoška/t
laŋat	laŋa/t
silat	sila/t
laŋat	laŋa/t
tɨtɨt	tɨtɨ/t
