joukkuemäessäkin	joukkue/mäe/ssä/kin
kulttuuriharrastus	kulttuuri/harrast/us
tampere-kuopio	tampere/-/kuopio
helppoutta	helppo/ut/ta
rumemmaksi	rume/mma/ksi
maanantai-iltainen	maanantai/-/iltainen
viriä	viri/ä
berberiä	berberi/ä
terästäytyä	terästäyty/ä
sysmää	sysmä/ä
näsijärvestä	näsijärve/stä
aluehälytyskeskukselle	alue/hälyt/ys/keskukse/lle
höystää	höystä/ä
viettää	viettä/ä
kööriä	kööri/ä
väliinputoajaryhmä	väli/in/putoa/ja/ryhmä
miesmäiseksi	mies/mäise/ksi
tuoduksi	tuo/du/ksi
kokkolasta	kokko/las/ta
lettiä	letti/ä
mad-lehti	mad/-/lehti
suolattuna	suola/ttu/na
päätyyppiin	pää/tyyppi/in
päivystysvalmiutta	päivyst/ys/valmiut/ta
täydennysruuaksi	täydenn/ys/ruua/ksi
ratsastusaika	ratsast/us/aika
selviytymistaistelu	selviyty/mis/taistel/u
yhteistutkimusta	yhteis/tutkimus/ta
ainuttakaan	ainut/ta/kaan
rekisteriä	rekisteri/ä
jalkapallokartalla	jalka/pallo/karta/lla
koulukiusatuksi	koulu/kiusa/tu/ksi
säästöpankkiopistolla	säästö/pankki/opisto/lla
toteutusaika	toteut/us/aika
konserniyhtiöksi	konserni/yhtiö/ksi
pelastamatta	pelasta/ma/tta
virtaava	virtaa/va
filosofoiva	filosofoi/va
osuuspankkikeskuksessa	osuus/pankki/keskukse/ssa
hätävarjelu	hätä/varjel/u
riskeeraamatta	riskeeraa/ma/tta
rauhallisempaan	rauha/llise/mpa/an
asuttamamme	asu/tta/ma/mme
kehuttavasti	kehu/tta/va/sti
edustuskysymyksessä	edust/us/kysymykse/ssä
vastustanutta	vastusta/nut/ta
kaivostoiminnalla	kaivos/toimi/nna/lla
talouskomissiossa	talo/usko/missio/ssa
tiedottavansa	tiedotta/va/nsa
kehittämislinjaan	kehittä/mis/linja/an
loiskiva	loiski/va
tuomioistuinkäsittelyjä	tuomio/istuin/käsittel/y/j/ä
puoluekoneistolle	puolue/koneisto/lle
kaivuuväelle	kaivuu/väe/lle
kippurin	kippur/in
nettiin	netti/in
tankkeriin	tankkeri/in
teheraniin	teherani/in
etäopettaja	etäopetta/ja
tukidirektiiville	tuki/direktiivi/lle
naureskelija	naureskeli/ja
peräseinälle	perä/seinä/lle
nummijärvelle	nummi/järve/lle
toivottamalta	toivo/tta/ma/lta
murtuvalta	murtu/va/lta
palloiluun	palloil/u/un
luokkataistelu	luokka/taistel/u
tasa-arvoasiamiehelle	tasa/-/arvo/asia/miehe/lle
pienimäelle	pieni/mäe/lle
kovempaan	kove/mpa/an
työssäkin	työ/ssä/kin
leikkautunut	leikkaut/u/nut
painorajoitetulla	paino/rajoite/tu/lla
moralismiin	moralismi/in
poimintakaudella	poimi/nta/kaude/lla
tajuttomaan	taju/ttoma/an
lajistollista	lajisto/llis/ta
ohjelmatuotannolle	ohjelma/tuotanno/lle
pöydällenne	pöydä/lle/nne
siirtolaispolitiikkaan	siirtolais/politiikka/an
vastustajamme	vastusta/ja/mme
