tardaː	tar/daː
nuŋarwatin	nuŋar/wa/tin
hiŋilgənduː	hiŋilgən/duː
biʃo	bi/ʃo
noːttəw	noː/t/tə/w
ďawduːwər	ďaw/duː/wər
ďuːduːwərnə	ďuː/duː/wər/nə
it͡ʃətt͡ʃilim	it͡ʃə/t/t͡ʃi/li/m
girkujit͡ʃaːwun	girku/ji/t͡ʃaː/wun
ədaːji	ə/daː/ji
əməśoːtin	əmə/śoː/tin
sinduː	sin/duː
ojotin	ojo/tin
brigaďiritin	brigaďiri/tin
kultiritin	kultiri/tin
ugiːdoːtin	ugiːdoː/tin
biśə	bi/śə
uliďəďet	uli/ďə/ďe/t
staːdəduː	staːdə/duː
staːdəduː	staːdə/duː
əŋəhiːtin	əŋəhiː/tin
staːdəduː	staːdə/duː
hutəduːwər	hutə/duː/wər
muːduː	muː/duː
huruďəndə	huru/ďə/ndə
iśəfkəːnmurə	iśə/fkəːn/mu/rə
hamɲiːkarə	hamɲiː/ka/r/ə
əjaka	ə/ja/ka
gunďənə	gun/ďə/nə
ut͡ʃuďəŋnəm	u/t͡ʃu/ďə/ŋnə/m
mut͡ʃuďəraktin	mut͡ʃu/ďə/rak/tin
aŋikaːnə	aŋi/kaːn/ə
luktawundaː	luk/ta/wun/daː
iɲitt͡ʃət͡ʃoːwun	iɲ/it/t͡ʃə/t͡ʃoː/wun
həhənďəriːwətin	həhən/ďə/riː/wə/tin
əjəːttəkiwun	əjəːt/təki/wun
tar	tar
tar	tar
it͡ʃətnoːm	it͡ʃə/t/noː/m
huwulitin	huwuli/tin
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
amiːntin	amiːn/tin
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
tar	tar
ɲiːduː	ɲiː/duː
sokorim	sokori/m
pəktirəːnim	pəktirəːni/m
gunəm	gunə/m
iɲďəŋkitin	iɲ/ďə/ŋki/tin
əːt͡ʃaːwunkə	əː/t͡ʃaː/wun/kə
hətəkənəm	hətəkənə/m
kuktim	kukti/m
taγim	taγi/m
omŋom	omŋo/m
hanŋuːktam	hanŋuːkta/m
staːdəwətin	staːdə/wə/tin
ďuːduːwər	ďuː/duː/wər
amarduliːwun	amar/duliː/wun
hawalit͡ʃalaːwun	hawali/t͡ʃalaː/wun
tilim	tili/m
əfkoː	ə/fkoː
gunim	guni/m
əďiŋəː	ə/ďiŋəː
tilim	tili/m
gunim	guni/m
ďa	ďa
təpkəhinďəm	təpkə/hin/ďə/m
aśinduːw	aśin/duː/w
əməwum	əmə/wu/m
ətəm	ətə/m
ďəbďədoːtin	ďəb/ďə/doː/tin
tariŋiːwun	tari/ŋiː/wun
ďuːduː	ďuː/duː
doːldiːm	doːldiː/m
manam	mana/m
manam	mana/m
doːldiːm	doːldiː/m
təγəm	təγə/m
