kahdeksaansataan	kahdeksa/an/sata/an
ruokafilosofiani	ruoka/filosofi/a/ni
saastumisongelmat	saastu/mis/ongelma/t
poltellut	polt/el/lu/t
hajasijoitetut	haja/sijoite/tu/t
istumapaikkaansa	istu/ma/paikka/a/nsa
särkikalojen	särki/kalo/j/en
marihuanalaatujen	marihuana/laatu/j/en
ydinvaltojen	ydin/valto/j/en
kallistumallaan	kallist/u/ma/lla/an
ennakkoveikkailut	ennakko/veikka/il/u/t
syväkairaukset	syvä/kaira/ukse/t
kiperimmätkin	kiper/immä/t/kin
etutassujen	etu/tassu/j/en
esiintymispaikkaa	esiinty/mis/paikka/a
edellytettyjen	edellyte/tty/j/en
kuollutkin	kuol/lu/t/kin
yrityskohtaiset	yrit/ys/kohtaise/t
leukemiatapaukset	leukemia/tapa/ukse/t
huudollaan	huudo/lla/an
povellaan	pove/lla/an
muodostavasta	muodosta/va/sta
lähdeverojen	lähde/vero/j/en
yhteisostojen	yhteis/osto/j/en
alamäkivauhtiaan	ala/mäki/vauhti/a/an
korjausavustukset	korja/us/avust/ukse/t
musiikissaan	musiiki/ssa/an
sijoittajasta	sijoitta/ja/sta
pelastusliittojen	pelast/us/liitto/j/en
matkakulujen	matka/kulu/j/en
toimitustyöhön	toimi/t/us/työ/hön
asettamastaan	asetta/ma/sta/an
langetettujen	langete/ttu/j/en
opiskelutapojen	opiskel/u/tapo/j/en
tiedetoimittajat	tiede/toimi/tta/ja/t
kristiinankaupungista	kristiinankaupungi/sta
haydnista	haydni/sta
lokomosta	lokomo/sta
orasta	ora/sta
siimasta	siima/sta
talvesta	talve/sta
hingusta	hingu/sta
plussasta	plussa/sta
artosta	arto/sta
huulesta	huule/sta
uhkasta	uhka/sta
otsasta	otsa/sta
eduskuntavaaleja	edus/kunta/vaale/j/a
imusta	imu/sta
hankintaansa	hanki/nta/a/nsa
katselmustoimitukselle	katselmus/toimi/t/ukse/lle
laulattaako	laula/tta/a/ko
viljelytiloja	viljel/y/tilo/j/a
elvytyskampanjalla	elvy/t/ys/kampanja/lla
