vazgeCtin	vazgeC/t/in
istanbullular	istanbul/lu/lar
CaGlIyorlar	CaG/lIyor/lar
Carparlar	Carp/ar/lar
uCmasI	uC/ma/sI
gizlemiyorlar	giz/le/miyor/lar
akacaGInI	ak/acaG/In/I
gelemiyorlar	ge/le/miyor/lar
kardeSlerimizce	kardeS/ler/imiz/ce
sayIlmayacaGI	say/Il/ma/yacaG/I
bakanlara	bak/an/lar/a
geCilemeyeceGini	geC/il/eme/yeceG/in/i
amaClamasI	amaC/la/ma/sI
CalgIlarla	Cal/gI/lar/la
dengesizlikler	denge/siz/lik/ler
hortumlandIGInI	hortum/lan/dIG/In/I
bulandIGInI	bula/n/dIG/In/I
Uretmekteler	Ure/t/mek/te/ler
sIyIrma	sIyIr/ma
artmasI	art/ma/sI
duraklamasI	durak/la/ma/sI
olamadIGInI	o/la/ma/dIG/I/nI
tUrediGini	tUre/diG/i/ni
hesaplamasI	hesap/la/ma/sI
birikimlerimize	birik/im/ler/imiz/e
pisliGini	pis/liG/i/ni
dilenciler	dil/en/ci/ler
duraklamalar	durakla/m/a/lar
katilini	kati/lin/i
davetlilerce	davet/li/ler/ce
geriliminin	ger/il/im/in/in
yUksekliGinin	yUksek/liG/in/in
aynalardan	ayna/lar/dan
bankalardan	banka/lar/dan
duraklama	durak/la/ma
Ozlersem	Oz/ler/se/m
kabullenmiSlerdi	kabul/len/miS/ler/di
baGlantIlardaki	baGlantI/lar/da/ki
getireceGinin	getir/eceG/in/in
alIStIrmalara	al/IS/tIr/ma/lar/a
ulaStIklarIna	u/laS/tIk/lar/I/na
biriktiGi	birik/tiG/i
diktirdiGi	dik/tir/diG/i
tekrarlardan	tekrar/lar/dan
yaptIrImlardan	yaptIrIm/lar/dan
bilinemeyeceGi	bil/in/eme/yeceG/i
beklendiGi	bek/len/diG/i
Universitenizi	Universite/niz/i
dOSendiGi	dOSe/n/diG/i
saGlayIcIlarInIn	saG/la/yIcI/lar/I/nIn
greviydi	grev/i/ydi
gerCeGiydi	gerCeG/i/ydi
vazgeCmemesi	vazgeC/me/me/si
kIyImInI	kIy/Im/In/I
fedakarlIGInI	fedakar/lIG/In/I
durmasI	dur/ma/sI
sUrdUreceklerdir	sUr/dUr/ecek/ler/dir
ayrIlanlarIn	ayr/Il/an/lar/In
duyarlIlIklarInIzI	duyarlI/lIk/lar/InIz/I
sulardaki	su/lar/da/ki
gazetecilere	gazete/ci/ler/e
yanItlanmadIGI	yanIt/lan/ma/dIG/I
tanIrlar	tan/Ir/lar
moralinizi	moral/iniz/i
reyinizi	rey/iniz/i
yaSlIlar	yaS/lI/lar
aCIlISInIn	aCIlIS/In/In
SiarInIn	Siar/In/In
izahInIn	izah/In/In
korunmalIdIrlar	koru/n/ma/lI/dIr/lar
haClIlar	haC/lI/lar
baSbakanInIn	baSbakan/In/In
zarfInIn	zarf/In/In
CIkarImlar	CIkar/Im/lar
nazIrInIn	nazIr/In/In
bakanlarIm	bakan/lar/Im
efendilerimizden	efendi/ler/imiz/den
uGramamalarI	uGra/ma/ma/larI
bulgularIyla	bul/gu/lar/I/yla
dokunmadIGI	doku/n/ma/dIG/I
ithalinden	ithal/i/nden
mermerinden	mermer/i/nden
Seklinden	Sekl/i/nden
selimi	se/lim/i
hayaletinden	hayalet/i/nden
nikahInIn	nikah/In/In
CalIStIrdIklarI	CalIS/tIr/dIk/lar/I
UrUnlerimizden	UrUn/ler/imiz/den
ezberlediGi	ezber/le/diG/i
azaltabileceGini	azal/t/abil/eceG/in/i
kullanmayanlara	kul/lan/ma/yan/lar/a
kalbinden	kalb/i/nden
sohbetimizi	sohbet/imiz/i
tOreninden	tOren/i/nden
gOrUlmeyenler	gOr/Ul/me/yen/ler
keSfinin	keSf/i/nin
asbaSkanI	asbaSkan/I
tekstilinin	tekstil/i/nin
saGImI	saGIm/I
aGlarmIS	aG/lar/mIS
karataSI	karataS/I
hazzI	hazz/I
konseyinin	konsey/i/nin
ticaretimizi	ticaret/imiz/i
kIrkI	kIrk/I
CaldIlar	Cal/dI/lar
CoGaltImI	CoGaltIm/I
zihniyetinin	zihniyet/i/nin
muradI	murad/I
