roolihenkilö	rooli/henkilö
länsimäessä	länsi/mäe/ssä
imusolmukesyöpää	imu/solmuke/syöpä/ä
turvallisuusjoukkonsa	turva/llis/uus/joukko/nsa
leiriydymme	leiriydy/mme
tartumme	tartu/mme
moraalimme	moraali/mme
komppaniamme	komppania/mme
valmistaudumme	valmistaudu/mme
improvisoimme	improvisoi/mme
tulkitsemme	tulkitse/mme
katselemme	katsele/mme
iltalehdessä	ilta/lehde/ssä
amerikkalaisyhtiötä	amerikkalais/yhtiö/tä
lämäämään	lämää/mä/än
imusolmukesyövästä	imu/solmuke/syö/vä/stä
pakkotyöllistämisestä	pakko/työllistä/mise/stä
delegaationsa	delegaatio/nsa
antikvariaattinsa	antikvariaatti/nsa
pidättämisessä	pidättä/mise/ssä
elämässänne	elä/mä/ssä/nne
käynnistetäänkö	käynniste/tä/än/kö
pukeutumisetiketistä	puke/utu/mis/etiketi/stä
heikkoselta	heikkose/lta
alttonsa	altto/nsa
kevolta	kevo/lta
oluelta	olue/lta
paronittarelta	paronittare/lta
porotalousneuvoja	poro/talous/neuvo/ja
mechelininkadulta	mechelininkadu/lta
herkistyykin	herkist/y/y/kin
arvostellutta	arvostel/lu/tta
olympiavuotta	olympia/vuo/tta
ylähirrestä	ylä/hirre/stä
osiolta	osio/lta
