perintörahoilla	perintö/raho/i/lla
konesavotan	kone/savota/n
hämeenlinnalaismiehen	hämeenlinnalais/miehe/n
raportoiden	raportoi/de/n
kansallispuolueen	kansallis/puoluee/n
kipeimmän	kipe/immä/n
pilvenmäki	pilve/n/mäki
arvostelijoilla	arvosteli/jo/i/lla
kyynpuremapotilaita	kyy/n/pure/ma/potila/i/ta
kotiradan	koti/rada/n
sähkösaunan	sähkö/sauna/n
yhtiösopimuksen	yhtiö/sopimukse/n
kanelipuun	kaneli/puu/n
kaakkoisrajan	kaakkois/raja/n
talousuutisissa	talous/uutis/i/ssa
paperimiehen	paperi/miehe/n
pikkulohkon	pikku/lohko/n
erikoisnuuskan	erikois/nuuska/n
pietarilaisryhmän	pietarilais/ryhmä/n
erikoiskomission	erikois/komissio/n
sotilaskarkuruuden	sotilas/karkuruude/n
kuvakudoksissa	kuva/kudoks/i/ssa
nykytilan	nyky/tila/n
arvoasetelman	arvo/asetelma/n
kohenemisen	kohene/mise/n
joulunvihreä	joulu/n/vihreä
teatterisalin	teatteri/sali/n
kalanviljelylaitoksissa	kala/n/viljel/y/laitoks/i/ssa
joulusillin	joulu/silli/n
sotilasjoukon	sotilas/jouko/n
murtumilla	murtu/m/i/lla
hoikkuuden	hoikk/uude/n
leppoisuuden	leppois/uude/n
paisuvilla	paisu/v/i/lla
laadunparannuksen	laadu/n/para/nn/ukse/n
toteutuskelpoisia	toteut/us/kelpois/i/a
katsotuissa	katso/tu/i/ssa
kattaneen	katta/nee/n
kyyhöttävän	kyyhöttä/vä/n
keräämän	kerää/mä/n
kohtamaan	kohta/maa/n
lämäämän	lämää/mä/n
sillanpää	silla/n/pää
ahdistetun	ahdiste/tu/n
jättipalikoista	jätti/paliko/i/sta
kesäjuhlista	kesä/juhl/i/sta
kokousasioista	kokous/asio/i/sta
brittisotilaista	britti/sotila/i/sta
piirakoista	pii/rako/i/sta
mitalisijoista	mitali/sijo/i/sta
budjettivaroista	budjetti/varo/i/sta
keinoaineista	keino/aine/i/sta
kotioloista	koti/olo/i/sta
käytönkin	käytö/n/kin
sotarikoksista	sota/rikoks/i/sta
taivalluksen	taivall/ukse/n
ruoppauksen	ruoppa/ukse/n
huumenatsien	huume/nats/i/en
lääkärihelikopterien	lääkäri/helikopter/i/en
raidevälien	raide/väl/i/en
lomituksen	lomit/ukse/n
ruokapakettien	ruoka/pakett/i/en
kassamagneettien	kassa/magneett/i/en
meriupseerien	meri/upseer/i/en
alttoviulistien	altto/viulist/i/en
myrkyttömien	myrky/ttöm/i/en
liikenneväylien	liikenne/väyl/i/en
ammattiauttajia	ammatti/autta/j/i/a
musiikkilajien	musiikki/laj/i/en
hosumista	hosu/m/i/sta
mullistamista	mullista/m/i/sta
valjastamista	valjasta/m/i/sta
joulukorttien	joulu/kortt/i/en
hallinnonhaarat	hallinno/n/haara/t
raskauttavista	raskautta/v/i/sta
julkaisuiksi	julkais/u/i/ksi
housunlahkeet	housu/n/lahkee/t
sovelluksien	sovell/uks/i/en
vahingoittamien	vahingoitta/m/i/en
kehittäjiin	kehittä/j/i/in
studioitaan	studio/i/ta/an
taudinkuvat	taudi/n/kuva/t
rauhanhalua	rauha/n/halu/a
lähialueyhteistyövaroin	lähialue/yhteis/työ/varo/i/n
a-oikeuksia	a/-/oike/uks/i/a
manttelinperijöitä	mantteli/n/peri/jö/i/tä
puolimaista	puoli/ma/i/sta
joulunaluskiireiden	joulu/n/alus/kiire/i/den
karkottavan	karkotta/va/n
luulevan	luule/va/n
sulkijan	sulki/ja/n
purjehtijan	purjehti/ja/n
tarinoillaan	tarino/i/lla/an
maanpäällisillä	maa/n/pää/llis/i/llä
hampaissaan	hampa/i/ssa/an
kohdissaan	kohd/i/ssa/an
kokeisiin	koke/i/siin
saaliisiin	saali/i/siin
hameisiin	hame/i/siin
huojuivat	huoju/i/vat
juoksuttivat	juoksutt/i/vat
nettosivat	nettos/i/vat
erkaantuivat	erkaantu/i/vat
surivat	sur/i/vat
jääkäreitten	jääkäre/i/tten
lahkeitten	lahke/i/tten
lauteitten	laute/i/tten
lähialueitten	lähialue/i/tten
perinteitten	perinte/i/tten
osakkaitten	osakka/i/tten
päällekkäisiltä	päällekkäis/i/ltä
määräisinä	määräis/i/nä
