таа’койӈын	таа/’ко/йӈы/н
ԓыӈкы	ԓыӈ/кы
ӄыркургынэт	ӄы/ркургы/нэ/т
ӄутти	ӄут/ти
варкыт	варкы/т
ӈанӄэнат	ӈан/ӄэна/т
ныппыԓюӄинэт	ны/ппыԓю/ӄинэ/т
рэӄуым	рэӄ/уым
йымэтваркын	йымэтва/ркын
ӄытвыгын	ӄытвыгы/н
вэчгыргын	вэчгыргы/н
энӄэтыркын	энӄэты/ркын
опопы	опопы
мытвыгъан	мы/твы/гъа/н
ԓюнрэпириӈэ	ԓюнрэ/пири/ӈэ
тынтыркынэт	тынты/ркынэ/т
нымкыче	ны/мкы/че
тиквыт	т/ик/выт
кэтъоёԓӄыԓ	кэтъоё/ԓӄыԓ
моонэн	моо/нэ/н
анъяк	анъя/к
тычичевыркын	ты/чичевы/ркын
чичевыркын	чичевы/ркын
атав	атав
тиквъэк	т/ик/въэ/к
нэнаратвыӈэгым	н/эна/ра/твы/ӈ/эгым
айыԓгыкэчьатгыргын	айыԓ/гыкэчьат/гыргы/н
тамэнӈычьатгыргын	тамэнӈы/чь/ат/гыргы/н
гынниӈӈыттык	гынниӈ/ӈыт/тык
нинивӄин	н/ин/ив/ӄин
аԓвагты	аԓва/гты
гыннэӈӈыттыгыргыкэн	гыннэӈ/ӈытты/гыргы/кэн
кэтъоёԓгын	кэтъо/ёԓгы/н
ынанъыттъыёԓкэн	ынанъыттъыёԓ/кэн
ваӈӄыткэн	ваӈӄыт/кэн
котъён	котъё/н
гынык	гыны/к
рымэгчеравма	ры/мэгчера/в/ма
чимгъуну	чимгъу/ну
томгыԓьатгыргын	томгы/ԓьат/гыргы/н
варатэн	вара/тэн
чинитым	чини/тым
рытчыгъэн	рытчы/гъэ/н
рытчынэт	рытчы/нэ/т
йыԓынэт	йыԓы/нэ/т
морыкы	моры/кы
тъыԓгыгъэн	тъыԓгы/гъэ/н
рэӄу	рэӄ/у
рэтэйкыӈын	рэ/тэйкы/ӈы/н
тъыпиринэт	тъы/пири/нэ/т
ԓюнчимгъутэ	ԓю/н/чимгъу/т/э
гитигым	г/ит/игым
ԓюнрэнъээвӈэ	ԓюнрэ/нъээв/ӈэ
тынтыгыт	ты/нты/гыт
анӈэначьатык	анӈэна/чьа/тык
гымыкы	гымы/к/ы
этрэркурӈынин	этрэ/ркурӈы/нин
гыннэӈӈыттываԓы	гыннэӈ/ӈытты/ваԓы
ынантаӈпыԓвынтэн	ынантаӈ/пыԓвынтэн
трэтэйкыӈын	т/рэ/тэйкы/ӈы/н
кэԓийыӄуйгын	кэԓ/ийыӄ/уйгы/н
ынӈэнваԓягты	ынӈэн/ваԓя/гты
вэԓынкыӄун	вэԓын/кы/ӄун
ԓёнйъота	ԓён/йъо/та
ӄэвииръын	ӄэв/ииръы/н
нытэӈъэв	ны/тэ/ӈъэв
нытаваӈӄынӈэгыт	ны/т/ава/ӈ/ӄынӈ/эгыт
аткэвма	аткэв/ма
оравэтԓьэн	оравэтԓьэ/н
омрыӈ	омры/ӈ
каннайым	канна/йым
анӈэначьатэты	анӈэна/чьат/эты
ԓыԓяпыткоӈӈогъэ	ԓыԓя/пы/тко/ӈӈо/гъ/э
ваӈӄытыӈӄачагты	ваӈӄыты/ӈӄача/гты
рэнмык	рэн/мык
йымэтваԓьэты	йымэтва/ԓь/эты
ӄынвэр	ӄынвэр
вэймэну	вэймэ/ну
тыԓгыркын	ты/ԓгы/ркын
аатгыргын	аатгыргы/н
ԓюнрэнйыркэвӈэ	ԓюн/рэн/йыркэв/ӈэ
тынтыркын	тынты/ркын
тыкычгэпын	ты/кычг/эпын
тивыркын	т/ивы/ркын
мынамманаӈат	мын/аммана/ӈат
ӈирэмури	ӈирэ/мури
тэнтумгу	тэн/тумгу
тывыӈонэн	ты/выӈо/нэ/н
ратайкынъё	ра/тайкы/нъ/ё
каннайынаым	канна/йын/аым
рывиривнин	р/ывирив/ни/н
ранмэпы	ра/н/мэпы
рыԓьэтэннин	ры/ԓьэт/эн/ни/н
орвэты	орв/эты
акватыԓьэты	акваты/ԓь/эты
рэпԓыткуӈын	рэпԓытку/ӈы/н
рэнԓьэтэнӈын	рэн/ԓьэт/энӈы/н
ыттувъена	ыттувъе/на
ӄынинъэйвыгын	ӄы/нин/ъэйвы/гы/н
мачынан	мачы/нан
омакатынвык	омак/атынвы/к
конференцияк	конф/еренция/к
советкэн	совет/кэн
вараттэ	вара/тт/э
ԓёнрамаравӈа	ԓён/ра/марав/ӈа
итыркыт	иты/ркы/т
майӈывараттэ	майӈы/вара/тт/э
мъавараттэ	мъав/ара/тт/э
мэйӈэԓьын	мэйӈэ/ԓьы/н
россэԓьыварат	россэ/ԓьы/вара/т
эмӄитпымигчирэтэ	эм/ӄит/пы/мигчир/эт/э
ԓыгнин	ԓыг/ни/н
чывипыт	чывипыт
гаԓяԓьын	гаԓя/ԓьы/н
кэтэм	кэтэм
таӈгаймавык	таӈ/г/аймавы/к
рымӈыԓявнэнат	ры/мӈыԓ/яв/нэ/на/т
винвэ	винвэ
аӄантыӈ	а/ӄанты/ӈ
каԓегырга	каԓе/гырга
чимгъут	чимгъу/т
ԓыгаԓгыргыт	ԓыга/ԓгыргы/т
ваӈкыттамэнӈыԓьэн	ваӈкы/тта/мэнӈы/ԓь/эн
ныԓгэргавӄэн	ны/ԓгэ/ргав/ӄэн
нэнакачьаранъяӄэн	н/эна/качьа/ра/нъя/ӄэн
тэминӈэтыԓьэ	тэминӈ/эты/ԓь/э
нинэйыԓӄин	н/инэ/йыԓ/ӄин
ыныкы	ыны/кы
иӄумиӈкыри	иӄумиӈ/кы/ри
йъын	йъы/н
ӈайыткын	ӈай/ыткын
мэчнытэминӈыӄин	мэч/ны/тэ/минӈы/ӄин
таваӈӄынӈык	тав/аӈӄынӈы/к
нэкэм	нэкэм
тэйкык	тэйкы/к
танӈавэты	танӈавэты
турэймэвкы	тур/эймэв/кы
итчымигчир	итчы/мигчир
ԓёӈӄыръачета	ԓёӈ/ӄыръач/ета
нитӄин	н/ит/ӄин
рээн	рээн
айпэчгыткынык	айпэч/гы/ткыны/к
энаёчгык	эна/ё/чгы/к
гэтэйкыԓинэт	гэ/тэйкы/ԓинэ/т
гамгавараткэнат	га/мгав/ара/т/кэна/т
ныԓеӄинэт	ны/ԓе/ӄинэ/т
нынрыӄинэт	ны/нры/ӄинэ/т
ынӈэнкыргычьык	ынӈэн/кыргы/чьы/к
гэкэԓиԓинэт	гэ/кэԓи/ԓинэ/т
гэмгэйиԓымиԓ	гэ/мгэй/иԓы/миԓ
амаравкэгыргын	а/марав/кэгыргы/н
нинэрэкэԓиӈӄин	н/инэ/рэкэԓиӈ/ӄин
ваԓьыеԓымэԓ	ва/ԓьы/еԓым/эԓ
руссиԓьымиԓ	ру/сси/ԓьы/миԓ
ԓыгъоравэтԓьаеԓымэԓ	ԓыг/ъоравэтԓьа/еԓым/эԓ
уӈииԓьымиԓ	уӈии/ԓьы/миԓ
винрэннин	винрэн/ни/н
каԓеткорак	каԓе/тко/ра/к
каԓеныгъёԓявыԓьэпы	каԓе/ны/гъёԓявы/ԓь/эпы
рытчынин	рытчы/ни/н
ныкэԓиӄин	ны/кэԓи/ӄин
ангԓияԓьыеԓымэԓ	ангԓия/ԓьы/еԓым/эԓ
немцаԓьыеԓымэԓ	немца/ԓьы/еԓым/эԓ
каԓеткоракэнайпыым	каԓе/тко/ра/кэна/йпыым
гынрыратыԓьэпы	гынры/раты/ԓь/эпы
кабицкайпы	кабицка/йпы
поԓякыԓьымэԓ	поԓя/кы/ԓьы/мэԓ
нывинрэтӄин	ны/винрэт/ӄин
ӄуԓимигчирык	ӄуԓи/мигчиры/к
нинэԓьумыткуӄин	н/инэ/ԓь/умы/тку/ӄин
рымъян	рымъя/н
койӈыԓявыт	койӈыԓ/явыт
нинэнчеэкэвӄинэт	н/инэ/н/чеэкэв/ӄинэ/т
энаёчгыт	эна/ё/чгы/т
пԓыткооттэ	пԓытко/от/тэ
пԓыткома	пԓытко/ма
ӈыроӄав	ӈыроӄав
недеԓя	н/едеԓя
ымыԓьэты	ымыԓь/эты
гэпԓыткуԓин	гэ/пԓытку/ԓин
ӈыраӄычьэты	ӈыраӄы/чь/эты
ёнэн	ё/нэн
энаёчгычыко	эна/ё/чгы/чыко
недеԓяк	н/едеԓя/к
ԓёӈыгтота	ԓёӈы/гто/та
ынӄоым	ынӄоым
рычичьэннин	рычи/чьэн/ни/н
натааӄогъан	натааӄо/гъа/н
ӈирэнԓеӈу	ӈирэ/н/ԓе/ӈу
ынӈэнтаакойӈа	ынӈэн/таа/койӈа
нъытааӄонат	н/ъытааӄо/на/т
мытԓыӈэн	мыт/ԓыӈэн
ынантаагытԓечьыт	ынантаа/гытԓе/чьы/т
ынӄо	ынӄо
рагтыгъэ	ра/гты/гъэ
рыгъевнин	ры/гъев/ни/н
гаԓяк	гаԓя/к
гэквэтԓин	г/эквэт/ԓин
мычвынъёԓгын	мы/чвынъ/ёԓгы/н
ӄэйыӄын	ӄэйыӄы/н
въэӈык	въэӈы/к
рэӈама	рэӈ/ам/а
каԓеткосӄэвынво	каԓе/тко/сӄэвы/нво
атчанэн	атча/нэн
ръэтгыпыԓьын	ръэт/гыпы/ԓьы/н
деԓегатык	деԓега/тык
ԓыгэёанмачы	ԓыгэ/ёан/мачы
атчакэн	атча/кэн
яраӈы	яра/ӈы
эмэйӈыкыԓьин	э/мэйӈы/кы/ԓь/ин
номӄэн	ном/ӄэн
ныӄэргыӄэн	ны/ӄэргы/ӄэн
ковԓёкы	ковԓё/кы
стоԓык	сто/ԓы/к
нывакъотваӄэнат	ны/вакъо/тва/ӄэна/т
ӄоԓ	ӄоԓ
эԓгываԓӄыԓыргыԓьын	эԓгы/ваԓӄы/ԓыргы/ԓьы/н
нывэтчатваӄэнат	ны/вэтча/тва/ӄэна/т
ӈыроӄ	ӈыроӄ
йыӈаёттэ	йыӈ/аёт/тэ
мигчитԓьэт	мигчит/ԓьэт
аэропортакэн	аэро/порта/кэн
энаёчгын	эна/ё/чгы/н
нынчичьэтӄинэт	ны/н/чичь/эт/ӄинэ/т
энэчгытэты	энэчгытэты
нэнанмытԓыӈӄавӄэн	н/эна/нмытԓы/ӈӄав/ӄэн
пирик	пири/к
эмӄынгитэк	эмӄынгитэ/к
