iːlаkustə	iːlа/ku/s/tə
paqtɨlʼä	paqtɨ/lʼä
uquuu	uquuu
pöːtɛntak	pöːt/ɛnta/k
tıːmona	tıːmo/na
qəːnirana	qəːnira/na
leːpä	leːpä
tintäna	tintäna
lolʼ	lo/lʼ
tıːtɛːŋɨtɨ	tıː/t/ɛː/ŋɨ/tɨ
kətɨntɨt	kətɨ/ntɨ/t
porä	porä
tannɛnantɨ	tann/ɛna/ntɨ
namɨp	namɨ/p
čʼoqolpatɨ	čʼoqo/l/pa/tɨ
miːšɔːllä	miːš/ɔːl/lä
qəntɨtɨ	qən/tɨ/tɨ
tɨtɨp	tɨtɨ/p
čʼatɨsä	čʼatɨ/sä
amɨrsamtɨ	am/ɨ/r/sa/m/tɨ
kostrʼulʼantɨ	kostrʼulʼa/ntɨ
patqɨllä	pat/qɨl/lä
tam	tam
tamɨm	tam/ɨ/m
okoškat	okoška/t
səːtɨ	səː/tɨ
taŋaltɛːnta	taŋ/alt/ɛː/nta
lakasä	laka/sä
üːqɨlʼelʼčʼɛnta	üːqɨlʼ/elʼčʼ/ɛnta
čʼatɨntɨ	čʼatɨ/n/tɨ
nɨːnto	nɨː/nto
kurolʼna	kur/olʼ/na
mɨka	mɨka
puršimɔːtıːja	purši/mɔːt/ıː/ja
peːŋal	peː/ŋa/l
täkkelʼa	täkke/lʼa
ɔːqɨt	ɔː/qɨt
nɨːŋɨlʼe	nɨː/ŋɨlʼe
lakasa	laka/sa
tantɨlʼe	tantɨ/lʼe
nɨːnetɨ	nɨː/netɨ
šeːrlʼa	šeːr/lʼa
šäqqɨnta	šäqqɨ/nta
čʼoip	čʼoi/p
čʼoj	čʼoj
amɨrejnta	am/ɨ/r/ej/nta
qɨːqɨllʼe	qɨː/qɨl/lʼe
paqtat	paqta/t
moːrɨ	moːrɨ
čʼantoːqɨt	čʼantoː/qɨt
qoːtältɨmpatɨ	qoːt/äl/tɨ/mpa/tɨ
čʼıːmɨp	čʼıːmɨ/p
qɔːt	qɔːt
mannɨmpɨsam	mannɨ/mpɨ/sa/m
tep	tep
qonɨčʼa	qonɨ/čʼa
qoŋɨtɨ	qo/ŋɨ/tɨ
čʼiːqqɨmɔːtpa	čʼiːqqɨ/mɔːt/pa
nilʼčʼilʼ	nilʼčʼi/lʼ
ollɨtɨ	ollɨ/tɨ
čʼıŋkɨt	čʼıŋkɨ/t
ɨnna	ɨnna
pačʼalqo	pačʼ/al/qo
orqɨltɨt	orqɨl/tɨ/t
mišallʼe	miš/al/lʼe
ɛsalɔːtɨn	ɛsa/lɔː/tɨn
čʼumɨlʼ	čʼumɨ/lʼ
qumpa	qu/mpa
amɛːlʼa	am/ɛː/lʼa
tüːŋɔːtɨn	tüː/ŋɔː/tɨn
omtijɔːtɨn	omti/jɔː/tɨn
nɨlʼčʼik	nɨlʼčʼi/k
čʼapqaš	čʼapqaš
poːsa	poː/sa
sepelak	sepelak
sämnälʼä	sämnälʼä
ämäp	ämä/p
oqɨllɨsa	oqɨllɨ/sa
lä	lä
lɨpkomɔːtɨimpa	lɨpko/mɔːt/ɨi/mpa
čʼelʼiŋɛːlʼa	čʼelʼi/ŋ/ɛː/lʼa
tottɛntɨtɨ	tott/ɛ/ntɨ/tɨ
posä	po/sä
rakšältättɨ	rakš/ält/ättɨ
puːlʼa	puːlʼa
posa	po/sa
rakšaltɨtɨ	rakš/altɨ/tɨ
ɛsa	ɛsa
ontä	ontä
qontɨšeŋa	qontɨ/š/e/ŋa
patčʼalpatɨ	patčʼ/al/pa/tɨ
alʼčʼa	alʼčʼa
tolʼ	to/lʼ
nɨtalʼa	nɨta/lʼa
qatɔːlnɨt	qat/ɔːl/nɨ/t
šɛːqɨntɔːtɨt	šɛːqɨ/ntɔː/tɨt
pičʼitɨ	pičʼi/tɨ
čʼuqɨlit	čʼuqɨ/li/t
pičʼim	pičʼi/m
amɨrsalʼ	am/ɨ/r/sa/lʼ
qäːqɨnɨt	qäː/qɨn/ɨt
ɨnnät	ɨnnä/t
omtɨlʼ	omtɨ/lʼ
ɨlqɨnɨ	ɨl/qɨnɨ
koraltɨtɨ	kor/altɨ/tɨ
qurɨlʼak	qurɨ/lʼa/k
qətsattɨ	qətsat/tɨ
ɨpqälʼolʼna	ɨp/qälʼ/olʼ/na
lʼipɨ	lʼipɨ
seppɛːnta	sep/p/ɛː/nta
teːmtɨ	teːmtɨ
kusa	kusa
kunä	kunä
tämtop	tämto/p
čʼəːsɨ	čʼəːsɨ
kurreŋit	kurr/e/ŋi/t
ɨpaŋɨtɨ	ɨpa/ŋɨ/tɨ
kotɨk	kotɨk
ütteŋito	ütt/e/ŋi/to
irat	ira/t
qonteja	qont/e/ja
čʼarɨp	čʼarɨp
kontɨ	kontɨ
qɨr	qɨr
paŋɨsä	paŋɨ/sä
nilleːlʼa	nilleː/lʼa
silaltet	sil/alt/e/t
tɛːmnɨntɨ	tɛːmnɨ/n/tɨ
čʼattetɨ	čʼatt/e/tɨ
qəjentɨ	qəj/e/ntɨ
tänɨtɨ	tänɨ/tɨ
ɨːrɨŋ	ɨːrɨŋ
nʼöŋa	nʼö/ŋa
šitqo	ši/tqo
sɨqɨleŋa	sɨqɨl/e/ŋa
nʼenʼimɔːnna	nʼenʼi/mɔːn/na
qälimpɨptät	qäl/i/mpɨ/ptä/t
šelʼqup	šelʼqup
pɛlitɨmpal	pɛli/tɨ/mpa/l
šelqup	šelqup
toːta	toːta
qoːp	qoː/p
čʼošsä	čʼoš/sä
üntinimtɨje	ünti/nimtɨje
možet	možet
surɨlʼa	surɨ/lʼa
əsɨtɨ	əsɨ/tɨ
ətɨmɨntɨ	ətɨmɨntɨ
sarrejietɨ	sarr/ej/ie/tɨ
pop	po/p
pom	po/m
qäntɨt	qäntɨ/t
mattältentit	matt/äl/t/e/nti/t
qättällä	qätt/äl/lä
šinet	šinet
pijap	pija/p
pɔːrontɨ	pɔːro/ntɨ
namɨša	namɨša
qontartɨ	qontartɨ
ont	ont
tɛnɨmɨt	tɛnɨmɨ/t
tıšqɨmɔːnna	tıšqɨ/mɔːn/na
kəlʼčʼɔːtɨt	kə/lʼčʼɔː/tɨt
nʼüšimɨt	nʼüši/mɨt
amtɨt	am/tɨ/t
qənnɨntɔː	qən/nɨ/ntɔː
košinamɨt	košinamɨt
ɔːlʼčʼɛnta	ɔːlʼčʼ/ɛnta
suːrqımɨ	suːr/qı/mɨ
puraaa	puraaa
nɨː	nɨː
tüːŋɔːtɨt	tüː/ŋɔː/tɨt
miːšalnɔːqɨj	miːš/al/nɔː/qɨj
qəttɛːŋɨtɨ	qətt/ɛː/ŋɨ/tɨ
aːsap	aːsa/p
əːtɨsa	əːtɨ/sa
ilɨmpɔːtɨt	ilɨ/mpɔː/tɨt
najɛnta	najɛnta
qatamol	qatamol
ammɛːjit	amm/ɛː/ji/t
qəːlɨlʼlʼä	qəːlɨ/lʼ/lʼä
kušat	kušat
qoltit	qolti/t
mantelɔːlpɨlʼä	mante/lɔːl/pɨ/lʼä
suːrɨtqo	suːrɨ/tqo
mantalpelʼa	mant/al/pe/lʼa
