numam	nu/mam
xkaʼy	x/kaʼy
Pixabʼ	Pixabʼ
kujchʼaw	k/uj/chʼaw
chikij	chi/k/ij
qachil	q/achil
qʼequʼm	qʼequʼm
mayul	mayul
Rax	Rax
utobʼanelabʼ	u/tobʼanel/abʼ
ajtʼisoʼm	ajtʼisoʼm
pʼot	pʼot
Xinqʼax	X/in/qʼax
kixoʼl	ki/xoʼl
pix	pix
tzʼaralik	tzʼaralik
eqaʼn	eqaʼn
Maj	Maj
xʼek	x/ʼe/k
Kinkowin	K/in/kowin
kinajilan	k/in/ajilan
juwinaq	juwinaq
katzako	ka/tzak/o
watz	w/atz
kaqʼoxow	ka/qʼoxow
ucheʼal	u/cheʼal
nukʼotoj	nu/kʼotoj
nukʼakʼapoʼt	nu/kʼakʼapoʼt
Xinqʼiʼo	X/in/qʼiʼ/o
xinatin	x/in/atin
joron	joron
kon	kon
Xoʼl	Xoʼl
Abʼaj	Abʼaj
Qʼumarkaj	Qʼumarkaj
Tzebʼal	Tzebʼal
qʼeq	qʼeq
kachʼopinik	ka/chʼopin/ik
kuxeʼj	k/u/xeʼ/j
ribʼ	r/ibʼ
kʼate	kʼate
rachalal	r/achalal
qatinamit	qa/tinamit
unimal	u/nimal
rulewal	r/ulewal
molonel	molonel
tzijtal	tzijtal
Miqʼin	Miqʼin
xibʼibʼal	xibʼibʼal
qakʼaslemal	qa/kʼaslemal
kubʼan	k/u/bʼan
kqʼat	k/qʼat
wajxaqibʼ	wajxaqibʼ
wene	wene
wajxaqlajuj	wajxaqlajuj
kutoj	k/u/toj
300	300
500	500
qʼuqʼ	qʼuqʼ
Xsachon	X/sachon
cho	ch/o
waʼim	waʼ/im
Jobʼ	Jobʼ
tzʼalam	tzʼalam
xeporoxik	x/e/poro/x/ik
xkunataj	x/kuna/taj
koj	k/oj
ajtiʼj	ajtiʼj
Jawchiʼ	Jawchiʼ
xataʼ	x/a/taʼ
umam	u/mam
Xojtzalijik	X/oj/tzalij/ik
xixeʼqaqʼatuj	x/ix/eʼ/qa/qʼatuj
kukʼ	k/ukʼ
itat	i/tat
inan	i/nan
kinʼe	k/in/ʼe
Kinwoyʼej	K/inw/oyʼe/j
Xinalaxik	X/in/alax/ik
cholbʼal	cholbʼal
Aj	Aj
Noʼjim	Noʼjim
upachʼuxik	u/pachʼu/x/ik
nuwiʼ	nu/wiʼ
Kojonel	Kojonel
Kaqʼax	Ka/qʼax
80%	80%
kiriqom	ki/riq/om
keriqitaj	k/e/riq/itaj
República	República
Democrática	Democrática
del	del
Congo	Congo
jupuq	jupuq
chij	chij
Kakowinik	Ka/kowin/ik
kabʼinik	ka/bʼin/ik
kowilaj	kowilaj
ko	ko
tzuqbʼal	tzuqbʼal
aninaq	aninaq
kachʼaw	ka/chʼaw
chinuwach	chi/nu/wach
Kremow	K/remow
qʼaqʼ	qʼaqʼ
oj	oj
xwaj	x/w/aj
kʼuhjnem	kʼuhjnem
saʼy	saʼy
saqmoʼl	saqmoʼl
tzantzaqʼor	tzantzaqʼor
Nojim	Nojim
katwaʼik	k/at/waʼ/ik
Xawaj	X/aw/aj
anoʼjibʼal	a/noʼjibʼal
Kojulkitzukuj	K/oj/ul/ki/tzuku/j
weqaʼn	w/eqaʼn
xayojo	x/a/yoj/o
Jat	Jat
xinchaʼ	x/in/chaʼ
awe	aw/e
xinbʼano	x/in/bʼan/o
xakʼam	x/a/kʼam
wuʼla	wuʼ/la
atzʼyaq	atzʼyaq
utat	u/tat
kkaʼyik	k/kaʼy/ik
Kinmeson	K/in/meson
katpe	k/at/pe
qukʼ	q/ukʼ
Xinsach	X/in/sach
uwokik	u/wok/ik
Xinchʼaw	X/in/chʼaw
apan	apan
wanabʼ	w/anabʼ
Kchakun	K/chakun
josbʼal	josbʼal
ajanel	ajanel
Chqil	Ch/q/il
upixabʼ	u/pixabʼ
qʼatbʼal	qʼatbʼal
kiyaʼ	k/iyaʼ
Chikabʼraqan	Chikabʼraqan
kariqatajik	ka/riq/ataj/ik
Pine	Pine
maj	maj
nurajil	nu/rajil
kimbʼe	k/im/bʼe
uqʼij	u/qʼij
kok	k/ok
nojim	nojim
xbʼek	x/bʼe/k
xuchʼijo	x/u/chʼij/o
xopan	x/opan
ukʼisbʼalil	u/kʼisbʼalil
Xujbʼe	X/uj/bʼe
tzurik	tzurik
Konojel	K/onojel
keʼetzʼanik	k/eʼ/etzʼan/ik
ktzʼutuwik	k/tzʼutuw/ik
Xinbʼe	X/in/bʼe
loqʼoj	loqʼoj
Kamul	Kamul
xinpe	x/in/pe
atzukuxik	a/tzukuxik
petinaq	petinaq
rachalaxik	r/achalaxik
Kuyaʼo	K/u/yaʼ/o
keʼopan	k/eʼ/opan
kiwi	ki/wi
jastaq	jastaq
suʼt	suʼt
pisom	pisom
Wetaʼam	W/etaʼam
kapetik	ka/pet/ik
tzʼajom	tzʼajom
kachaʼ	ka/chaʼ
Qech	Q/ech
Ajchak	Ajchak
Ajqʼojom	Ajqʼojom
xel	x/el
xuchʼaybʼej	x/u/chʼaybʼe/j
Xinmuʼl	X/in/muʼl
nuwakax	nu/wakax
qʼoqʼ	qʼoqʼ
chʼumil	chʼumil
kaj	kaj
xsachon	x/sachon
Qilik	Q/il/ik
Areʼ	Areʼ
retaʼm	r/etaʼm
kinopanik	k/in/opan/ik
Jukʼulaj	Jukʼulaj
xeʼanimaj	x/eʼ/animaj
qatzantzaqʼor	qa/tzantzaqʼor
qanoʼjibʼal	qa/noʼjibʼal
Kekʼiy	K/e/kʼiy
amolo	amolo
yawal	yawal
kukoj	k/u/koj
chakach	chakach
usuʼt	u/suʼt
Kʼate	Kʼate
unan	u/nan
xkikotik	x/kikot/ik
xusalabʼisaj	x/u/salabʼisa/j
uxkin	u/xkin
tuʼ	tuʼ
nuqʼabʼ	nu/qʼabʼ
Kinbʼinik	K/in/bʼin/ik
xinʼek	x/in/ʼe/k
Xenutaqchʼij	X/e/nu/taqchʼi/j
kekil	k/e/k/il
Kʼakʼ	Kʼakʼ
poʼt	poʼt
Xqata	X/qa/ta
xatulik	x/at/ul/ik
Xubʼij	X/u/bʼij
sachaʼ	sach/aʼ
numak	nu/mak
kinbʼan	k/in/bʼan
kinimaj	ki/nimaj
Xineʼbʼinoq	X/in/eʼ/bʼin/oq
Ajilanel	Ajilanel
Kikunaxik	Ki/kuna/x/ik
xretaʼmaj	x/r/etaʼma/j
ukʼaʼ	ukʼaʼ
qasiʼ	qa/siʼ
Xinqʼil	X/in/qʼil
kachakun	ka/chakun
tʼuyul	tʼuyul
lo	lo
«	«
Makʼam	M/a/kʼam
matij	m/a/tij
machap	m/a/chap
Xu	Xu
ubʼaqilal	u/bʼaqilal
kaqʼayir	ka/qʼayir
Nabʼe	Nabʼe
xatopanik	x/at/opan/ik
Xkitijo	X/ki/tij/o
xuloqʼo	x/u/loqʼ/o
ixoqibʼ	ixoq/ibʼ
Xuloqʼ	X/ul/oqʼ
wuj	wuj
Aninaqil	Aninaqil
Kʼa	Kʼa
te	te
xkilo	x/k/il/o
jujun	jujun
chomaʼq	chom/aʼq
jeʼl	jeʼl
kimujal	ki/mujal
bʼinel	bʼinel
uwosaq	uwosaq
julajuj	julajuj
Chpe	Ch/pe
loqʼalaj	loqʼ/alaj
yabʼil	yabʼil
xbʼaqarik	x/bʼaqar/ik
kʼotoj	kʼotoj
Xanimaj	X/animaj
uchuch	u/chuch
jobʼ	jobʼ
chʼil	chʼil
wakʼ	w/akʼ
kewaʼ	k/e/waʼ
xkikamsaj	x/ki/kamsaj
choja	cho/ja
uchʼuʼjilal	u/chʼuʼjilal
kyajon	k/yajon
kech	k/ech
katchʼopin	k/at/chʼopin
xinkunan	x/in/kuna/n
Xpax	X/pax
bʼoʼj	bʼoʼj
Nutum	Nu/tum
siʼ	siʼ
qariqoj	qa/riqoj
xkoj	x/koj
“	“
Xalqʼat	Xalqʼat
”	”
Paqal	Paqal
qʼeqa	qʼeq/a
Chanim	Chanim
kwaj	k/w/aj
Xeqil	X/e/q/il
puwi	p/u/wi
Xinxuliʼ	X/in/xuliʼ
qajoq	qaj/oq
Xatriyeʼj	X/at/r/iyeʼ/j
Tun	Tun
Xojkisikʼij	X/oj/ki/sikʼi/j
kel	k/el
ukʼuʼx	u/kʼuʼx
kakʼatisax	ka/kʼatisa/x
latzʼ	latzʼ
alkalte	alkalte
Jelaʼ	Jelaʼ
timinit	timinit
Chwikabyok	Chwikabyok
Xelajuʼ	Xelajuʼ
qanan	qa/nan
qatat	qa/tat
kakitiko	ka/ki/tiko
jeʼlalaj	jeʼl/alaj
Xloʼtaj	X/loʼtaj
Uj	Uj
uwuq	uwuq
xtuqaʼrik	x/tuqaʼr/ik
Chitatabʼej	Ch/i/tatabʼe/j
kimbʼij	k/im/bʼi/j
chiwe	ch/iw/e
Xinsikʼij	X/in/sikʼi/j
alaq	alaq
Jeriʼ	Jeriʼ
kkibʼan	k/ki/bʼan
chkech	ch/k/ech
Chuta	Chuta
Kintij	K/in/tij
Kubʼan	K/u/bʼan
uxoqʼoʼl	u/xoqʼoʼl
ajtzʼaq	ajtzʼaq
Xesikʼij	X/e/sikʼi/j
Kakitik	Ka/ki/tik
ixim	ixim
Xchoy	X/choy
choyibʼal	choyibʼal
nutat	nu/tat
kaloqʼon	ka/loqʼo/n
suq	suq
qakikʼel	qa/kikʼel
xatok	x/at/ok
ratinsaxik	r/atinsa/x/ik
awibʼ	aw/ibʼ
xinchʼayow	x/in/chʼay/ow
ukʼisbʼal	u/kʼisbʼal
cholaj	cholaj
xubʼij	x/u/bʼij
xa	xa
awas	awas
jal	jal
qawa	qa/wa
pum	pum
Xojilik	X/oj/il/ik
Xujchʼay	X/uj/chʼay
Kumajibʼej	Kumajibʼej
nabʼe	nabʼe
ukʼutunik	u/kʼutunik
kayaʼtaj	ka/yaʼ/taj
qʼaqʼal	qʼaqʼal
jolomaj	jolom/aj
kʼaqat	kʼaqat
chiʼl	chiʼl
bʼaqilal	bʼaqilal
Kaqariq	Ka/qa/riq
xojʼe	x/oj/ʼe
kʼisis	kʼisis
kril	k/r/il
ukolonem	u/kolon/em
Dyos	Dyos
ixoq	ixoq
xinsikʼin	x/in/sikʼin
uloq	uloq
tat	tat
