амаравкэваратэн	а/маравкэва/ра/тэн
нэԓьугъэн	нэ/ԓьу/гъэ/н
оравэтԓьата	оравэтԓьа/та
ынин	ын/ин
иԓгыкырвир	иԓгы/кырвир
ӄынур	ӄынур
нэмыӄэй	нэмыӄэй
анойпыԓьын	анойпы/ԓьы/н
ынпыначгын	ынпыначгы/н
гатаӈавэръэпыԓен	га/таӈ/авэръ/эпы/ԓен
ӄынур	ӄынур
крычмыма	крычмым/а
ынык	ыны/к
ныркувӄэн	ны/ркув/ӄэн
ԓымгиръын	ԓым/гиръы/н
ӄоранаԓгэн	ӄора/на/ԓгэ/н
яаԓеӈӄач	яаԓе/ӈӄач
ниԓгиӄэтӄин	н/иԓги/ӄэт/ӄин
имчьэчукин	имчь/эчу/кин
нэԓгын	н/эԓгы/н
пэнаӄаԓгын	пэнаӄаԓгы/н
ынпыначгык	ынпыначгы/к
гыткак	гытка/к
торпанраӄонагтэ	торпанра/ӄона/гтэ
ынкъам	ынкъам
чечот	чечот
ынӈин	ынӈин
ваԓьыт	ва/ԓьы/т
эвиръыт	эвиръы/т
атымӈэйпыка	а/тымӈэйпы/к/а
нынтыӄинэт	ны/нты/ӄинэ/т
ынӄэната	ынӄэна/та
таӈаԓкыԓыӈ	таӈ/аԓкыԓы/ӈ
энмэн	энмэн
ынпыначгын	ынпыначгы/н
раӄэты	раӄэты
энаача	энаача
гаторавэръэпыԓен	га/торавэръ/эпы/ԓен
ивкэ	ив/к/э
еттык	ет/тык
ынан	ынан
гагԓеты	га/г/ԓеты
пынԓёнэнат	пынԓён/эна/т
мэчынкы	мэчын/кы
гымнан	гым/нан
игыр	игыр
трэԓьуӈын	т/рэ/ԓьу/ӈы/н
ыттъувги	ыттъув/ги
ӄэйвэ	ӄэйвэ
этԓы	этԓы
ытԓён	ытԓён
еп	еп
эриӈэкыԓьин	э/риӈэкы/ԓь/ин
еп	еп
ытԓён	ытԓён
эриӈэкыԓьин	э/риӈэкы/ԓь/ин
татԓыгнэн	тат/ԓыг/нэн
чинит	чинит
ыттъувгинэ	ыттъув/гин/э
ынӄэн	ынӄэн
коԓё	коԓё
нымэԓӄин	ны/мэԓ/ӄин
иквъи	
ынпыначгын	ик/въ/и
мырковъентогъэ	ынпыначгы/н
ынкъам	мы/рковъе/нто/гъ/э
рамынноӈэты	ынкъам
мынгаймэтыӈонэнат	рам/ынноӈ/эты
ыныкорвык	мын/г/аймэты/ӈонэ/на/т
камԓеԓтаткоԓьыт	ыны/корвы/к
оравэтԓьат	оравэтԓьа/т
йыӄӄайым	йыӄ/ӄай/ым
ныпытӄивӄин	ны/пытӄив/ӄин
ытԓён	ытԓён
гым	гым
нычимгъуйгым	ны/чимгъу/йгым
вэчьым	вэч/ьым
ытԓён	ытԓён
энмэч	энмэч
риӈэгъи	риӈэ/гъ/и
гымнин	гым/нин
нынны	нынны
гэмавъе	гэ/мав/ъе
гымнан	гым/нан
трэԓьуӈыркын	т/рэ/ԓьу/ӈы/ркын
ыттъувги	ыттъув/ги
ӄиквыткы	ӄ/ик/вы/ткы
энмэн	энмэн
ытԓён	ытԓён
рэԓьуӈыркынин	рэ/ԓьу/ӈы/ркыни/н
гэмавъена	гэ/мав/ъен/а
нымытваԓьа	ны/мытва/ԓь/а
коԓхозык	коԓхо/зы/к
эргыръон	эргы/ръо/н
мынԓьувыԓгымык	мын/ԓьу/вы/ԓгы/мык
тумгигыт	тумг/игыт
гэмавъей	гэ/мав/ъей
гым	гым
вай	вай
ыттувйигым	ыттувй/игым
тэԓенъепкин	тэԓен/ъеп/кин
ымыԓьорык	ымыԓьо/ры/к
ԓыги	ԓыги
ԓынъё	ԓынъ/ё
ваӈӄыттамэнӈыԓьын	ваӈӄытта/мэнӈы/ԓьы/н
гэмавъе	гэ/мав/ъе
тэԓенъеп	тэԓенъ/еп
нытумгыԓьэтӄин	ны/тумгы/ԓьэт/ӄин
гынниӈӈыттыԓьык	гынниӈ/ӈытты/ԓьы/к
мэмыԓына	мэмы/ԓын/а
ытри	ытри
гэтумгэ	гэ/тумг/э
таӈыннаны	таӈ/ыннаны
ваԓьыт	ва/ԓьы/т
янорым	янорым
ытри	ытри
ачгыта	ачгы/та
нынымытваӄэнат	ны/ны/мытва/ӄэна/т
чамаым	чамаым
ыргынан	ыргы/нан
вэты	вэты
ыԓгу	ыԓгу
ныԓгыӄин	ны/ԓгы/ӄин
тамэнӈатгыргын	тамэн/ӈат/гыргы/н
йъаратым	йъара/тым
ваӈӄыттамэнӈатгыргын	ваӈӄытта/мэн/ӈат/гыргы/н
ӈыроӄавыкым	ӈыроӄавы/кым
тэԓенъеп	тэԓенъ/еп
ытри	ытри
гэӈэквъиԓинэт	гэ/ӈэк/въ/и/ԓинэ/т
гэмавъена	гэ/мав/ъен/а
чинит	чинит
гэнмэйӈэвԓин	гэ/н/мэйӈ/эв/ԓин
экык	экык
мэмыԓынаым	мэмы/ԓын/аым
ӈээкык	ӈээ/кык
ӈыраӄавыкым	ӈыраӄавы/кым
ӈутку	ӈутку
ытри	ытри
амаԓваӈ	ам/аԓва/ӈ
нъэԓгъэт	н/ъэԓ/гъэ/т
гэмавъе	гэ/мав/ъе
амӄынъычо	ам/ӄын/ъычо
нывакъотваӄэн	ны/вакъо/тва/ӄэн
ярак	яра/к
ытԓён	ытԓён
кытэ	кытэ
ныԓьуӄин	ны/ԓьу/ӄин
нымытваԓьа	ны/мытва/ԓь/а
ытԓён	ытԓён
ӄонпы	ӄонпы
миӈкыри	миӈ/кы/ри
ванэван	ванэван
ныԓӄытын	ны/ԓӄыты/н
нымнымгыпы	нымным/гыпы
пууръу	пууръу
мэмыԓ	мэмыԓ
ӄонпы	ӄонпы
ныӄивриԓьэтӄин	ны/ӄ/иври/ԓьэт/ӄин
ԓымынкы	ԓым/ын/кы
вак	ва/к
пэнин	пэнин
ытԓён	ытԓён
миӈкыри	миӈ/кы/ри
айӈавъё	айӈав/ъё
ынкъам	ынкъам
ытԓён	ытԓён
эвын	эвын
ԓымынкы	ԓым/ын/кы
нытваӄэн	ны/тва/ӄэн
ымы	ымы
энааԓьык	энаа/ԓьы/к
ымы	ымы
поԓярнык	поԓяр/ны/к
станцияк	станция/к
ымыым	ым/ыым
йъарат	йъа/ра/т
ыяа	ыяа
нымытваԓьык	ны/мытва/ԓьы/к
чычеткинэк	чычет/кинэ/к
чамаым	чамаым
гэмавъе	гэ/мав/ъе
пэнин	пэнин
авъеткынка	авъе/ткын/к/а
ваԓьын	ва/ԓьы/н
мэмыԓым	мэмы/ԓым
ӄонпы	ӄонпы
ныпычвэтгавӄэн	ны/пычв/этгав/ӄэн
эквыргаым	эквы/р/гаым
ынӄэнат	ынӄэна/т
аԓваӈ	аԓва/ӈ
вагыргыт	вагыргы/т
нэнанъомравыткоӄэнат	н/эна/нъомравы/тко/ӄэна/т
тантомгыԓьатгыргэты	тан/томгы/ԓьат/гырг/эты
ваӈӄыттамэнӈатгыргын	ваӈӄытта/мэн/ӈат/гыргы/н
нитчыӄин	н/итчы/ӄин
мигчир	мигчир
ныкимыӄин	ны/кимы/ӄин
таӈычьыгыргын	таӈы/чьы/гыргы/н
титэ	титэ
ачгыта	ачгы/та
нывакъотваӄэн	ны/вакъо/тва/ӄэн
тумгытум	тумгытум
амымӈыԓтэԓԓьан	амымӈыԓ/тэԓ/ԓьа/н
гэмавъе	гэ/мав/ъе
амрапаԓёмтэԓӈыԓьын	ам/рапаԓём/тэԓӈы/ԓьы/н
мэгчеранма	мэгчера/н/ма
мэмыԓым	мэмы/ԓым
амрамӈыԓтэԓӈыԓьын	а/мра/мӈыԓ/тэԓӈы/ԓьы/н
ынан	ынан
нэнатвыӄэн	н/эна/твы/ӄэн
чинит	чинит
ԓьоо	ԓьо/о
ваԓёмъё	ваԓё/мъё
ымы	ымы
ръэнут	ръэнут
гэкэԓиԓин	гэ/кэԓи/ԓин
книгак	книга/к
ӄэйвэ	ӄэйвэ
ытԓён	ытԓён
агтыкаԓегъёԓяткыԓьэн	а/гты/каԓе/гъёԓяткы/ԓь/эн
эквыргаым	эквы/р/гаым
ӈээккэтэ	ӈэ/эккэ/тэ
тэгрыӈэнэ	тэгры/ӈэн/э
нэнанымӈыԓявӄэн	н/эна/ны/мӈыԓяв/ӄэн
гамгакаԓевэтгавъё	га/мгакаԓе/вэтгав/ъё
книга	книга
кытваӈӄытык	кытва/ӈӄы/тык
гэмавъена	гэ/мав/ъен/а
нинэтэйкыӄин	н/инэ/тэйкы/ӄин
майӈырынныԓьын	майӈы/рынны/ԓьы/н
ирэмъетыԓьын	ирэм/ъеты/ԓьы/н
ӄораӈы	ӄора/ӈы
ынан	ынан
еп	еп
тайкыма	тайкым/а
рынныӄач	рынны/ӄач
мэмыԓына	мэмы/ԓын/а
энмэч	энмэч
нэнанымӈыԓявӄэн	н/эна/ны/мӈыԓяв/ӄэн
имыръэнут	имы/ръэнут
яачыӈкэн	яачыӈ/кэн
гыннэӈыттыгыргын	гыннэӈы/тты/гыргы/н
армачьатгыргыт	армачьат/гыргы/т
гайаватэн	га/йава/тэн
чама	чама
ӈавтыӈгыргын	ӈавты/ӈ/гыргы/н
ӄуԓинымнымкин	ӄуԓи/нымным/кин
механикэн	меха/ни/кэн
ӈэвысӄэтык	ӈэвысӄэты/к
кыԓиныгйивэтыԓьык	кыԓи/ны/гйив/эты/ԓьы/к
нина	н/ина
ивановна	иванов/на
гэмавъе	гэ/мав/ъе
нытэӈычьэтӄин	ны/тэӈы/чь/эт/ӄин
паԓёмтэԓык	паԓём/тэԓы/к
аԓымы	аԓымы
ынан	ынан
механик	меха/ни/к
ынкъам	ынкъам
нина	н/ина
ивановна	иванов/на
ынкъам	ынкъам
эвыр	эвыр
ымы	ымы
геройтэ	ге/рой/тэ
пыӈыԓкэн	пыӈыԓ/кэн
песня	песня
о	о
гайавате	га/йава/те
вытку	вытку
нэнаваԓёмӄэнат	н/эна/ваԓём/ӄэна/т
ирэмъетыԓьын	ирэм/ъеты/ԓьы/н
ӄораӈы	ӄора/ӈы
ынан	ынан
еп	еп
тайкыма	тайкым/а
рынныӄач	рынны/ӄач
мэмыԓына	мэмы/ԓын/а
энмэч	энмэч
нэнанымӈыԓявӄэн	н/эна/ны/мӈыԓяв/ӄэн
имыръэнут	имы/ръэнут
яачыӈкэн	яачыӈ/кэн
гыннэӈыттыгыргын	гыннэӈы/тты/гыргы/н
армачьатгыргыт	армачьат/гыргы/т
гайаватэн	га/йава/тэн
чама	чама
ӈавтыӈгыргын	ӈавты/ӈ/гыргы/н
ӄуԓинымнымкин	ӄуԓи/нымным/кин
механикэн	меха/ни/кэн
ӈэвысӄэтык	ӈэвысӄэты/к
кыԓиныгйивэтыԓьык	кыԓи/ны/гйив/эты/ԓьы/к
нина	н/ина
ивановна	иванов/на
гэмавъе	гэ/мав/ъе
нытэӈычьэтӄин	ны/тэӈы/чь/эт/ӄин
паԓёмтэԓык	паԓём/тэԓы/к
аԓымы	аԓымы
ынан	ынан
механик	меха/ни/к
ынкъам	ынкъам
нина	н/ина
ивановна	ивановн/а
ынкъам	ынкъам
эвыр	эвыр
ымы	ымы
геройтэ	ге/рой/тэ
пыӈыԓкэн	пыӈыԓ/кэн
песня	песня
о	о
гайавате	га/йав/ат/е
вытку	вытку
нэнаваԓёмӄэнат	н/эна/ваԓём/ӄэна/т
ӄынвэрым	ӄынвэрым
мытэймэвмык	мыт/эймэв/мык
иам	иам
ынпыначгын	ынпыначгы/н
ныкитэ	ны/кит/э
пыкиргъи	пыкир/гъ/и
эмрэԓьуӈэ	эм/рэ/ԓьу/ӈэ
аэродромык	аэро/дро/мык
ыттъувги	ыттъув/ги
этԓы	этԓы
амтымӈэ	ам/тымӈэ
анкэтъоӈатка	ан/кэтъоӈ/атка
тынтыгъэн	ты/нты/гъэ/н
гайавата	га/йав/ата
аԓымы	аԓымы
мэмыԓына	мэмы/ԓын/а
нэнатвыӄэн	н/эна/твы/ӄэн
амаԓваӈ	ам/аԓва/ӈ
ваԓьын	ва/ԓьы/н
пыӈыԓ	пы/ӈыԓ
ынӈинвуԓӄытвик	ынӈин/вуԓӄы/тви/к
гэмавъена	гэ/мав/ъен/а
тайкыма	тайкым/а
ӄорэн	ӄорэ/н
рынныӄач	рынны/ӄач
тэӈвытку	тэӈ/вытку
ваԓёмнэн	ваԓём/нэн
америкаԓьыргэн	а/мерика/ԓьы/ргэн
индейцаргэн	индейц/ар/гэн
пэтыпыӈыԓ	пэты/пыӈыԓ
ынӈот	ынӈо/т
ваԓьын	ва/ԓьы/н
энмэн	энмэн
эчги	эчги
амаԓваӈ	ам/аԓва/ӈ
ваԓьыт	ва/ԓьы/т
оравэтԓьат	оравэтԓьа/т
нычеэкэвӄинэт	ны/чеэкэв/ӄинэ/т
ынкъам	ынкъам
нытааӄоӄэнат	ны/тааӄо/ӄэна/т
ыннантаакойӈа	ыннантаа/койӈа
ытри	ытри
ӄырымэнат	ӄырым/эна/т
маравыԓьыԓӄыԓтэ	маравы/ԓьы/ԓӄыԓ/тэ
ыргичгу	ыргичгу
нымэԓьэв	ны/мэԓьэв
ынӈин	ынӈин
нымытвак	ны/мытва/к
иквъи	ик/въ/и
гэмавъе	гэ/мав/ъе
ынӈин	ынӈин
ваԓын	ваԓы/н
вагыргын	вагыргы/н
тывъё	ты/въё
мэмыԓын	мэмы/ԓын
ныркыԓеӄин	ны/ркыԓе/ӄин
ытръэч	ытръэч
индейцыԓьырык	индейцы/ԓьы/ры/к
наӄамым	наӄамым
этԓы	этԓы
ымыԓьо	ымыԓьо
нымытваԓьырык	ны/мытва/ԓьы/ры/к
америкак	а/мерика/к
ынӄэн	ынӄэн
гэмавъена	гэ/мав/ъен/а
чемгъойпы	чемгъо/йпы
руԓтыгъи	ру/ԓты/гъ/и
вэчьым	вэч/ьым
ынӄэн	ынӄэн
гатваԓен	га/тва/ԓен
аԓваӈ	аԓва/ӈ
рамӈыԓява	ра/мӈыԓ/ява
мэмыԓына	мэмы/ԓын/а
эвытԓым	эвытԓым
тэгрыӈэнэ	тэгры/ӈэн/э
титэ	титэ
ръапыӈыԓ	ръапы/ӈыԓ
нынымӈыԓявӄэн	ны/ны/мӈыԓяв/ӄэн
оптытъар	оптытъар
оравэтԓьата	оравэтԓьа/та
ӄынвэрым	ӄынвэрым
ынанъяачы	ынанъяачы
тывыткоԓьа	ты/вытко/ԓьа
нэнанымӈыԓявӄэн	н/эна/ны/мӈыԓяв/ӄэн
аԓваӈ	аԓва/ӈ
ыттъыёԓкэнак	ыттъыёԓ/кэна/к
тывыткоԓьык	ты/вытко/ԓьы/к
мэмыԓына	мэмы/ԓын/а
ынӄэн	ынӄэн
вагыргын	вагыргы/н
ганымӈыԓявԓен	га/ны/мӈыԓ/яв/ԓен
тэԓенъеп	тэԓенъ/еп
еп	еп
тэгрыӈэ	тэгры/ӈэ
экэԓиткусӄивкэ	экэԓи/тку/сӄив/к/э
риӈэнэӈэтэ	риӈэн/эӈэт/э
хабаровскагты	хабаровска/гты
ынкъам	ынкъам
ынӄэната	ынӄэна/та
гэмавъена	гэ/мав/ъен/а
ынӄэн	ынӄэн
пыӈыԓтэԓ	пыӈыԓ/тэԓ
энмэч	энмэч
гэмо	гэ/мо
маԓытчыё	маԓытчы/ё
миӈкыри	миӈ/кы/ри
ӄун	ӄун
мэмыԓына	мэмы/ԓын/а
нымкыӄин	ны/мкы/ӄин
пыӈыԓтэ	пыӈыԓ/тэ
нэнатвыӄэнат	н/эна/твы/ӄэна/т
ӄоԓетъыԓё	ӄоԓе/тъыԓё
мэмыԓына	мэмы/ԓын/а
рымӈыԓявнэн	ры/мӈыԓ/яв/нэ/н
иӈӄун	иӈӄун
энмэн	энмэн
москвак	москва/к
ратвагъа	ра/тва/гъа
омакатгыргын	омак/ат/гыргы/н
конференция	конф/ерен/ция
амаравкэтагъяӈыԓьэн	а/марав/кэта/гъяӈы/ԓь/эн
ынкъам	ынкъам
тыӈэвыёно	ты/ӈэвы/ёно
