CIkamIyorum	CIk/amIyor/um
iCeriklidir	iCerik/li/dir
iCkin	iCkin
iCkindir	iCkin/dir
iCmektir	iC/mek/tir
iSlemekle	iSle/mek/le
iSletmeciliGini	iSle/t/me/ci/liG/i/ni
iSleyiSten	iS/le/yiS/t/en
ibo	ibo
ibonun	ibo/nun
icmali	icmal/i
icmalleri	icmal/ler/i
ilerletilmesine	ilerle/t/il/me/si/ne
ilgilendik	ilgi/len/di/k
ilgilendiklerini	il/gi/len/dik/ler/i/ni
ilgililerle	ilgi/li/ler/le
ilgiliyim	ilgi/li/yim
ilimci	il/im/ci
iller	il/ler
illerle	il/ler/le
inanmalarI	inan/ma/lar/I
inanmamalarI	inan/ma/ma/lar/I
indirgenecektir	indirge/n/ecek/tir
indirgenemez	indirge/n/emez
indirgeyici	indirge/yici
insanImIzI	insan/ImIz/I
insanIsInIz	insan/I/sInIz
irdelemeyi	irdele/me/yi
irdelenebilir	irdele/n/ebil/ir
irdeleyin	irdele/yin
istanbullular	istanbul/lu/lar
istanbulun	istanbul/un
isterdin	iste/r/di/n
isteseler	iste/se/ler
itmesini	it/me/si/ni
iyodUr	iyodUr
izlenemiyor	izle/n/emiyor
izlenmesine	iz/len/me/si/ne
izleridir	iz/leri/dir
kIlarIz	kIl/ar/Iz
kIlmaktI	kIl/mak/tI
kIsItlayabilecek	kIsIt/la/yabil/ecek
kItalan	kIta/lan
kItasIndaki	kIta/sI/nda/ki
kIvrImda	kIvrIm/da
kIvrImlarInI	kIvrIm/larI/nI
kOSklU	kOSk/lU
kOle	kOle
kOleleri	kOle/ler/i
kOpekle	kOpek/le
kOpekten	kOpek/ten
kUlahIn	kUlah/In
kUlahlI	kUlah/lI
kaCInmamIStIr	kaCIn/ma/mIS/tIr
kaCInmayan	kaCIn/ma/yan
kaSIGI	kaSIG/I
kaSIGa	kaSIG/a
kalIplarI	kalIp/larI
kalIptan	kalIp/tan
kalbimizde	kalb/imiz/de
kalbimle	kalb/im/le
kalbinden	kalb/i/nden
kampIna	kamp/In/a
kanala	kana/l/a
kanallara	kanal/lar/a
kapasitelerdeki	kapasite/ler/de/ki
karSIlaStIrInIz	karSI/laS/tIr/InIz
karSIladIklarInI	karSI/la/dIk/larI/nI
kardeSidir	kardeS/i/dir
kardeSlerimizce	kardeS/ler/imiz/ce
kardiyak	kardiyak
katIlabilmiStir	kat/Il/abil/miS/tir
katIlmasIyla	kat/Il/ma/sI/yla
katedralde	katedral/de
katedralin	katedral/in
katilin	katil/in
katilini	kati/lin/i
kavradIGI	kavra/dIG/I
kavrayabilmeniz	kavra/yabil/men/iz
kaynaSmaya	kaynaS/ma/ya
kazanabilme	kazan/abil/me
kazandIrmIStIr	kazan/dIr/mIS/tIr
keSfetmelerini	keSfet/me/ler/i/ni
keSfetmeniz	keSfet/me/niz
keSfettikten	keSfet/tik/ten
kehanetin	kehanet/in
kehanetini	kehanet/i/ni
kemiklere	kemik/ler/e
kemiksiz	kemik/siz
kirlettiler	kir/let/ti/ler
kirlilerden	kir/li/ler/den
koSamayanlar	koS/ama/yan/lar
koSturacak	koS/tur/acak
koSuSmalar	koS/uS/ma/lar
koSuttur	koS/ut/t/ur
komSunuzu	komSu/nuz/u
komitece	komite/ce
komitedir	komite/dir
kompozisyonlarInda	kompozisyon/larI/nda
kompozisyonu	kompozisyon/u
kompozisyonudur	kompozisyon/u/dur
kontrolOrUn	kontrolOr/Un
kontrolOrlUGU	kontrolOr/lUG/U
konuSturdum	konuS/tur/du/m
konuSulunca	kon/uS/ul/unca
konuSuluyorsa	konuSu/luyor/sa
konuSunda	kon/uS/u/nda
konvoydaki	konvoy/da/ki
konvoylarla	konvoy/lar/la
krediniz	kredi/niz
krediye	kredi/ye
krokilerinin	kroki/ler/in/in
kullanImIndan	kul/lan/Im/I/ndan
kullanamamasIna	kullan/ama/ma/sI/na
kullanmayanlara	kul/lan/ma/yan/lar/a
kullanmazlar	kullan/ma/zlar
lazImlIk	lazIm/lIk
lazImmIS	laz/Im/mIS
letafet	letafet
mUdafiden	mUdafi/den
mUdafiye	mUdafi/ye
mUslUmanlIkla	mUslUman/lIk/la
mUslUmanlIkta	mUslUman/lIk/ta
mUslUmanlarIn	mUslUman/lar/In
mUstacel	mUstacel
mUzisyenlerinden	mUzisyen/leri/nden
mahalleri	mahal/ler/i
mahallerindeki	mahal/ler/in/de/ki
mahvetmekle	mahvet/mek/le
mahvettikten	mahvet/tik/ten
manidir	mani/dir
meditasyon	meditasyon
meditasyona	meditasyon/a
meltemi	meltem/i
meltemlerin	meltem/ler/in
metindi	metin/di
metine	met/i/ne
mevzilenen	mevzi/len/en
mevzilenmesi	mevzi/len/me/si
millet	millet
milletce	millet/ce
moderni	modern/i
modernleSmesini	modern/leS/me/si/ni
modernliGin	modern/liG/in
muradI	murad/I
muradInI	murad/I/nI
nazIrInIn	nazIr/In/In
nazIrlIGIndan	nazIr/lIG/In/dan
neSelenince	neSe/len/ince
nefesimle	nefes/im/le
nefesinin	nefes/in/in
nikahInIn	nikah/In/In
nikahlarI	nikah/lar/I
objelerle	obje/ler/le
objesinin	obje/si/nin
okutun	oku/t/un
okutuyoruz	ok/ut/uyor/uz
olasIlIkla	ol/asI/lIk/la
olgunlaSamazlar	olgun/laS/ama/zlar
olgusudur	ol/gu/su/dur
olmayanIn	ol/ma/yan/In
olmuSumdur	ol/muS/um/dur
oluSabileceGine	oluS/abil/eceG/i/ne
oluSturmadI	oluS/tur/ma/dI
oluSturmalarI	oluS/tur/ma/lar/I
oluSturulmasIydI	oluS/tur/ul/ma/sI/ydI
olunmaz	ol/un/maz
oradadIr	ora/da/dIr
oradayken	ora/da/yken
ordudaki	ordu/da/ki
ordumuzdan	ordu/muz/dan
otelci	otel/ci
otellerinde	otel/ler/in/de
pantolonlu	pantolon/lu
pantolonuyla	pantolon/u/yla
paramIza	para/mIz/a
parasIdIr	para/sI/dIr
parlamentolarIn	parlamento/lar/In
parlamentosunu	parlamento/su/nu
pastanelerde	pastane/ler/de
pastanelere	pastane/ler/e
pavurya	pavurya
pisliGi	pis/liG/i
pisliGini	pis/liG/i/ni
plus	plus
polemiGi	polemiG/i
polemiGine	polemiG/i/ne
puanInda	puan/I/nda
puanlamanIn	puan/la/man/In
rUyalarImdaki	rUya/lar/Im/da/ki
rUyalarInIz	rUya/lar/In/Iz
rUyamIz	rUya/mIz
sInavdIr	sInav/dIr
sInavlarIndaki	sInav/lar/In/da/ki
sOndUrmeye	sOn/dUr/me/ye
sOnme	sOn/me
sOzlUklerinde	sOz/lUk/ler/i/nde
sOzleSmesiyle	sOz/leS/me/si/yle
sUrUklemeli	sUrUkle/me/li
sUrdUGUnUn	sUr/dUG/Un/Un
sUrdUrebilirler	sUr/dUr/ebil/ir/ler
sUrdUrenleri	sUr/dUr/en/ler/i
sUrprizin	sUrpriz/in
sUrprizlere	sUrpriz/ler/e
sUrprizlerinden	sUrpriz/ler/in/den
sUvarileriyle	sUvari/ler/i/yle
sUvarisinin	sUvari/si/nin
sahalarI	saha/lar/I
sahanda	sahan/da
sahanlIGInIn	sahan/lIG/I/nIn
saklI	sak/lI
saklIydI	saklI/ydI
saklIyorum	sak/lIyor/um
savaSIyorlardI	savaS/Iyor/lar/dI
savurganlIGI	savurgan/lIG/I
savurganlIGInIn	savurgan/lIG/In/In
sayIlmayacaGI	say/Il/ma/yacaG/I
saydIklarI	say/dIk/lar/I
saygIsIzlIGI	say/gI/sIz/lIG/I
seCebilmek	seC/ebil/mek
seCemiyor	seC/emiyor
selamlIGIndaki	selam/lIG/In/da/ki
selamlIGa	selam/lIG/a
selamlIyorlardI	selam/lIyor/lar/dI
sence	se/n/ce
senmiSsin	se/n/miS/sin
sensizliGi	sen/siz/liG/i
sergilenip	ser/gi/len/ip
sergilenmeye	ser/gi/len/me/ye
sergilerine	ser/gi/ler/i/ne
sevecenliGi	sevecen/liG/i
sevecenlik	sevecen/lik
sevecenlikle	sevecen/lik/le
sevenlerimin	sev/en/ler/im/in
sevineceGine	sev/in/eceG/i/ne
seyretmelidir	seyret/meli/dir
seyretmiStir	seyret/miS/tir
seyretmiyor	seyret/miyor
sezgiseldir	sezgisel/dir
solistin	solist/in
solistler	solist/ler
sorgulayIn	sor/gu/la/yIn
soykIrImIn	soykIrIm/In
soykIrImInIn	soykIrIm/I/nIn
suClamIyor	suC/la/mIyor
sulardaki	su/lar/da/ki
sunabiliriz	sun/abil/ir/iz
sunabilme	sun/abil/me
sunmasInI	sun/ma/sI/nI
sunumla	sunum/la
sunumu	sunum/u
susa	susa
susadI	susa/dI
susuz	su/suz
tOreninden	tOren/i/nden
tOrenlerle	tOren/ler/le
tUrUdUr	tUr/U/dUr
tUrUnU	tUr/Un/U
tUrdeki	tUr/de/ki
tUrkiyede	tUrkiye/de
tUrkiyeli	tUrkiye/li
tUrkiyeliler	tUrkiye/li/ler
tUrkiyemizde	tUrkiye/miz/de
tUrkiyesiz	tUrkiye/siz
taSIndIGIndan	taSI/n/dIG/In/dan
taSkent	taSkent
taStIklarI	taS/tIk/lar/I
tamirinde	tamir/i/nde
tamirine	tamir/i/ne
taramIS	tara/mIS
taramasInI	tara/ma/sI/nI
taranarak	tara/n/arak
tekrarlamakla	tekrar/la/mak/la
tekrarlardan	tekrar/lar/dan
temelindeki	temel/in/de/ki
temelinden	temel/in/den
temellenen	temel/len/en
temelsizdi	temel/siz/di
temizlensin	temiz/len/sin
tercihimdir	tercih/im/dir
tercihlerinde	tercih/ler/i/nde
terkedilir	terked/il/ir
terkedince	terked/ince
tetikleyen	tetik/le/yen
ticaretteki	ticaret/te/ki
toplanmISlardI	top/lan/mIS/lar/dI
toptancIlIGI	toptan/cI/lIG/I
tutuldular	tut/ul/du/lar
tutulmalarIna	tut/ul/ma/larI/na
uCak	uCak
uCmasI	uC/ma/sI
uGramamalarI	uGra/ma/ma/larI
uGrarsa	uGra/r/sa
ulaSmISken	u/laS/mIS/ken
ulaStIklarIna	u/laS/tIk/lar/I/na
umut	um/ut
umutlandIrdI	umut/lan/dIr/dI
umutlarIn	umut/lar/In
uyarlamalarI	uyarla/ma/lar/I
uyarlanma	uyarla/n/ma
uygulamasIndan	uy/gu/la/ma/sI/ndan
uygundur	uy/gun/dur
uymalarInI	uy/ma/larI/nI
uzvunu	uzv/un/u
vazgeCerek	vazgeC/erek
vazgeCmemesi	vazgeC/me/me/si
vazgeCmiStir	vazgeC/miS/tir
vazgeCtin	vazgeC/t/in
verdiGim	ver/diG/im
verilmektedir	ver/il/mekte/dir
vitaminleriyle	vitamin/leri/yle
yOnetendir	yOnet/en/dir
yOneticidir	yOnet/ici/dir
yOneticiliGinde	yOnet/ici/liG/i/nde
yOnetilmesinde	yOnet/il/me/si/nde
yOnetimlerindeki	yOnet/im/ler/in/de/ki
yOnetirler	yOnet/ir/ler
yUkseklerden	yUksek/ler/den
yUksekli	yUksek/li
yUksekliGinin	yUksek/liG/in/in
yUzUlmez	yUz/Ul/mez
yUzdUrme	yUz/dUr/me
yUzyIlImIzIn	yUzyIl/ImIz/In
yaSadIGInIn	yaSa/dIG/I/nIn
yaSanIrken	yaSa/n/Ir/ken
yaSanIyorsa	yaSa/n/Iyor/sa
yaSanmasa	yaSa/n/ma/sa
yaSantIlarImIz	yaSantI/lar/Im/Iz
yaSantIlarIna	yaSantI/larI/na
yaSantIm	yaSantI/m
yaSlIlar	yaS/lI/lar
yaSlIsIyla	yaS/lI/sI/yla
yakInlaStIGI	yakIn/laS/tIG/I
yakInlaStIkCa	yakIn/laS/tIkCa
yakItlarI	yakIt/larI
yakItta	yakIt/ta
yaktIn	yak/t/In
yanItlanmadIGI	yanIt/lan/ma/dIG/I
yankIlaSIm	yankI/laS/Im
yankIlanIrmIS	yankI/lan/Ir/mIS
yankIlandI	yankI/lan/dI
yanlIStan	yanlIS/tan
yansImalara	yansI/ma/lar/a
yansItIlarak	yansI/t/Il/arak
yansItabilecek	yansI/t/abil/ecek
yapIlabiliyorsa	yap/Il/abil/iyor/sa
yapIlma	yap/Il/ma
yapabilmekteydi	yap/abil/mekte/ydi
yapamIyordur	yap/amIyor/dur
yaptIk	yap/tI/k
yaptIrImda	yaptIrIm/da
yaptIrImlarI	yap/tIr/Im/lar/I
yaptIrImlardan	yaptIrIm/lar/dan
yaptIrImlarla	yaptIrIm/lar/la
yarISlar	yarIS/lar
yargIdIr	yar/gI/dIr
yargIdan	yargI/dan
yargIlanamazlar	yargI/lan/ama/zlar
yargIlanmasI	yargI/lan/ma/sI
yargItayImIz	yargItay/Im/Iz
yargItayIn	yargItay/In
yargItaydIr	yargItay/dIr
yatIrIldIktan	yatIr/Il/dIk/tan
yatIrarak	yatIr/arak
yazInIz	yazI/nIz
yeltendi	yelten/di
yeltenince	ye/l/t/en/in/ce
yeltenmektedir	yelten/mekte/dir
yeltenmiStir	ye/l/t/en/miS/tir
yememeniz	ye/me/me/niz
yenilenebilecek	yeni/len/ebil/ecek
yenilenme	yeni/len/me
yeniliktir	yeni/lik/tir
yerdim	yer/di/m
yerinede	yerine/de
yeriniz	yer/iniz
yerleSebileceGim	yerleS/ebil/eceG/im
yetiSmeniz	yetiS/men/iz
yetiStirdiGi	yet/iS/tir/diG/i
yetiStirilirler	yet/iS/tir/il/ir/ler
yetkilerimiz	yetki/ler/im/iz
yetkilerine	yetki/leri/ne
yetkililerle	yetki/li/ler/le
yetkin	yetkin
yetmiSin	ye/t/miS/in
yettiler	yet/ti/ler
yokluGunu	yok/luG/u/nu
yokluk	yok/luk
yuman	yum/an
yumuSakCa	yumuSakCa
yunanlIlardan	yun/an/lI/lar/dan
yutmasI	yu/t/ma/sI
yutmaya	yu/t/ma/ya
yuttum	yu/t/t/um
yuvadan	yuva/dan
yuvalarIdIr	yuva/lar/I/dIr
zarfInIn	zarf/In/In
zarflara	zarf/lar/a
zihniyetinin	zihniyet/i/nin
zihniyetlerin	zihniyet/ler/in
CIkarsanIz	CIk/ar/sa/nIz
CIkmazIna	CIkmaz/I/na
COlU	COl/U
COmleGi	COmleG/i
COplUGUnde	COp/lUG/U/nde
COzUmU	COz/Um/U
CaGan	CaGa/n
CaGlIyorlar	CaG/lIyor/lar
CaGlayanlarI	CaG/la/yan/lar/I
CabalarImIn	Caba/lar/Im/In
CakmIStI	Cak/mIS/tI
CalISIyorum	CalIS/Iyor/um
CalISacaklarInI	CalIS/acak/lar/I/nI
CalISmalarda	Cal/IS/ma/lar/da
CalgIlarla	Cal/gI/lar/la
Camlarla	Cam/lar/la
CatIlIr	Cat/Il/Ir
CeaS	CeaS
Cevrilmelidir	Cevril/me/li/dir
Cilingirin	Cilingir/in
Cimentolar	Cimento/lar
Cizgiden	Ciz/gi/den
Cizgisinden	Ciz/gi/si/nden
CoGaltImI	CoGaltIm/I
In	I/n
Internetini	Internet/i/ni
Islanmak	Is/lan/mak
IslanmanIn	Is/lan/ma/nIn
OGrenmesidir	OGren/me/si/dir
OdUnC	OdUnC
OdediGine	Ode/diG/in/e
Odemezlerse	Od/eme/zler/se
Oderiz	Od/er/iz
OfkelenmiSti	Ofke/len/miS/ti
OlCeGine	OlCeG/in/e
